state	year	county	precinct	g2012_USP_adv	g2012_USP_edv	g2012_USP_ldv	g2012_USP_dv	g2012_USP_arv	g2012_USP_erv	g2012_USP_lrv	g2012_USP_rv	g2012_USP_tv	g2012_USP_atv	g2012_USP_etv	g2012_USP_ltv	cd	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_dv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_rv	g2012_USH_tv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	cd2	g2012_USH_adv2	g2012_USH_edv2	g2012_USH_ldv2	g2012_USH_dv2	g2012_USH_arv2	g2012_USH_erv2	g2012_USH_lrv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USH_atv2	g2012_USH_etv2	g2012_USH_ltv2	sd	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_dv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_rv	g2012_STS_tv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	sd2	g2012_STS_adv2	g2012_STS_edv2	g2012_STS_ldv2	g2012_STS_dv2	g2012_STS_arv2	g2012_STS_erv2	g2012_STS_lrv2	g2012_STS_rv2	g2012_STS_tv2	g2012_STS_atv2	g2012_STS_etv2	g2012_STS_ltv2	ld	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_dv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_rv	g2012_STH_tv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	ld2	g2012_STH_adv2	g2012_STH_edv2	g2012_STH_ldv2	g2012_STH_dv2	g2012_STH_arv2	g2012_STH_erv2	g2012_STH_lrv2	g2012_STH_rv2	g2012_STH_tv2	g2012_STH_atv2	g2012_STH_etv2	g2012_STH_ltv2	ld3	g2012_STH_adv3	g2012_STH_edv3	g2012_STH_ldv3	g2012_STH_dv3	g2012_STH_arv3	g2012_STH_erv3	g2012_STH_lrv3	g2012_STH_rv3	g2012_STH_tv3	g2012_STH_atv3	g2012_STH_etv3	g2012_STH_ltv3	ld4	g2012_STH_adv4	g2012_STH_edv4	g2012_STH_ldv4	g2012_STH_dv4	g2012_STH_arv4	g2012_STH_erv4	g2012_STH_lrv4	g2012_STH_rv4	g2012_STH_tv4	g2012_STH_atv4	g2012_STH_etv4	g2012_STH_ltv4	ld5	g2012_STH_adv5	g2012_STH_edv5	g2012_STH_ldv5	g2012_STH_dv5	g2012_STH_arv5	g2012_STH_erv5	g2012_STH_lrv5	g2012_STH_rv5	g2012_STH_tv5	g2012_STH_atv5	g2012_STH_etv5	g2012_STH_ltv5	ld6	g2012_STH_adv6	g2012_STH_edv6	g2012_STH_ldv6	g2012_STH_dv6	g2012_STH_arv6	g2012_STH_erv6	g2012_STH_lrv6	g2012_STH_rv6	g2012_STH_tv6	g2012_STH_atv6	g2012_STH_etv6	g2012_STH_ltv6	ld7	g2012_STH_adv7	g2012_STH_edv7	g2012_STH_ldv7	g2012_STH_dv7	g2012_STH_arv7	g2012_STH_erv7	g2012_STH_lrv7	g2012_STH_rv7	g2012_STH_tv7	g2012_STH_atv7	g2012_STH_etv7	g2012_STH_ltv7	ld8	g2012_STH_adv8	g2012_STH_edv8	g2012_STH_ldv8	g2012_STH_dv8	g2012_STH_arv8	g2012_STH_erv8	g2012_STH_lrv8	g2012_STH_rv8	g2012_STH_tv8	g2012_STH_atv8	g2012_STH_etv8	g2012_STH_ltv8	ld9	g2012_STH_adv9	g2012_STH_edv9	g2012_STH_ldv9	g2012_STH_dv9	g2012_STH_arv9	g2012_STH_erv9	g2012_STH_lrv9	g2012_STH_rv9	g2012_STH_tv9	g2012_STH_atv9	g2012_STH_etv9	g2012_STH_ltv9
"OK"	2012	"CREEK"	190408	2	2	72	76	7	12	229	248	324	9	14	301	3	2	2	65	69	6	11	224	241	323	9	14	300																																								29	2	1	66	69	7	12	235	254	323	9	13	301																																																																																																								
"OK"	2012	"CREEK"	190409	7	11	217	235	4	20	522	546	781	11	31	739	3	4	7	178	189	7	23	525	555	776	11	31	734																																								29	2	7	135	144	8	24	606	638	782	10	31	741																																																																																																								
"OK"	2012	"CREEK"	190410	3	2	44	49	2	0	146	148	197	5	2	190	3	3	2	43	48	2	0	137	139	194	5	2	187																																								29	3	2	38	43	2	0	149	151	194	5	2	187																																																																																																								
"OK"	2012	"CREEK"	190411	3	0	156	159	8	5	310	323	482	11	5	466	3	3	0	134	137	6	5	295	306	477	11	5	461																																								29	2	1	120	123	9	4	348	361	484	11	5	468																																																																																																								
"OK"	2012	"CREEK"	190412	5	10	114	129	7	10	327	344	473	12	20	441	3	4	11	99	114	7	9	319	335	466	12	20	434																																								29	6	11	98	115	5	8	346	359	474	11	19	444																																																																																																								
"OK"	2012	"CREEK"	190413	2	8	192	202	14	16	523	553	755	16	24	715	3	5	9	172	186	11	14	514	539	754	16	23	715																																								29	3	10	139	152	12	13	575	600	752	15	23	714																																																																																																								
"OK"	2012	"CREEK"	190414	11	48	292	351	26	177	960	1163	1514	37	225	1252	3	9	41	246	296	22	175	933	1130	1517	37	227	1253																																								29	12	50	246	308	25	177	1005	1207	1515	37	227	1251																																																																																																								
"OK"	2012	"CREEK"	190415	1	2	90	93	14	32	274	320	413	15	34	364	1	1	4	89	94	14	26	245	285	403	15	32	356																																								29	1	1	87	89	13	32	267	312	401	14	33	354																																																																																																								
"OK"	2012	"CREEK"	190416	1	11	162	174	11	37	541	589	763	12	48	703	1	0	10	159	169	12	36	493	541	754	12	48	694																																																																																																																																																												
"OK"	2012	"CREEK"	190417	7	41	277	325	26	179	965	1170	1495	33	220	1242	1	7	44	272	323	22	168	908	1098	1481	32	217	1232																																																																																																																																																												
"OK"	2012	"CREEK"	190418	8	35	186	229	34	129	703	866	1095	42	164	889	3	9	20	166	195	29	133	692	854	1084	40	163	881																																																																																																																																																												
"OK"	2012	"CREEK"	190419	6	44	177	227	40	83	604	727	954	46	127	781	3	5	32	131	168	39	90	589	718	942	45	126	771																																																																																																																																																												
"OK"	2012	"CREEK"	190420	2	10	116	128	13	44	399	456	584	15	54	515	3	1	8	90	99	13	42	399	454	577	14	52	511																																																																																																																																																												
"OK"	2012	"CREEK"	190421	18	22	205	245	67	35	639	741	986	85	57	844	3	15	22	175	212	62	33	606	701	969	81	57	831																																																																																																																																																												
"OK"	2012	"CREEK"	190422	0	6	113	119	28	24	323	375	494	28	30	436	3	0	6	86	92	25	22	317	364	489	27	29	433																																								29	1	3	101	105	27	26	332	385	490	28	29	433																																																																																																								
"OK"	2012	"CUSTER"	200001	5	49	174	228	11	71	331	413	641	16	120	505	3	4	37	121	162	10	78	365	453	639	15	119	505																																																																																																																																																												
"OK"	2012	"CUSTER"	200003	4	38	200	242	11	110	532	653	895	15	148	732	3	2	28	105	135	11	113	605	729	892	14	146	732																																																																																																																																																												
"OK"	2012	"CUSTER"	200005	10	31	146	187	30	111	508	649	836	40	142	654	3	6	20	89	115	32	116	545	693	837	39	141	657																																																																																																																																																												
"OK"	2012	"CUSTER"	200007	9	64	137	210	13	73	225	311	521	22	137	362	3	9	52	88	149	13	78	255	346	521	22	138	361																																																																																																																																																												
"OK"	2012	"CUSTER"	200012	5	14	66	85	18	57	397	472	557	23	71	463	3	2	7	40	49	19	61	410	490	555	22	70	463																																																																																																																																																												
"OK"	2012	"CUSTER"	200013	3	5	49	57	17	18	194	229	286	20	23	243	3	3	4	29	36	17	19	205	241	286	20	23	243																																																																																																																																																												
