state	year	town	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv
"CT"	2012	"Suffield"	2	3852	2591	6907.0					2921	3632	7080.0	3332	3863	7271.0
"CT"	2012	"Thomaston"	5	1212	2031	3517.0					1295	2092	3666.0	1556	2144	3764.0
"CT"	2012	"Thompson"	2	2257	1069	3714.0					1581	1822	3847.0	1977	1993	4050.0
"CT"	2012	"Tolland"	2	4836	2427	7784.0					3691	3619	7882.0	4135	3840	8086.0
"CT"	2012	"Torrington"	5	2468	3764	6966.0	1	3000	2901	6364	5292	7024	13796.0	6843	7320	14419.0
"CT"	2012	"Trumbull"	4	9032	8159	17719.0					7756	9295	17979.0	8703	9986	18869.0
"CT"	2012	"Union"	2	276	175	497.0					210	242	505.0	257	250	516.0
"CT"	2012	"Vernon"	2	8125	3097	12184.0					6366	4780	12237.0	7556	5085	12832.0
"CT"	2012	"Voluntown"	2	754	304	1181.0					521	578	1201.0	610	600	1238.0
"CT"	2012	"Wallingford"	3	12356	6096	20102.0					9733	8774	20397.0	11560	9259	21084.0
"CT"	2012	"Warren"	5	293	462	813.0					369	402	819.0	404	407	827.0
"CT"	2012	"Washington"	5	947	914	1977.0					1099	796	1990.0	1237	824	2082.0
"CT"	2012	"Waterbury"	5	14862	6938	23329.0	3	3214	1618	5133	17376	10895	30453.0	20931	11043	32240.0
"CT"	2012	"Waterford"	2	5925	3067	9506.0					5054	3802	9530.0	5573	4183	9901.0
"CT"	2012	"Watertown"	5	3787	5827	10338.0					3643	6339	10702.0	4181	6644	10960.0
"CT"	2012	"West Hartford"	1	20573	8323	30419.0					19728	9891	31325.0	21069	10511	31928.0
"CT"	2012	"West Haven"	3	14130	3371	18641.0					12038	5478	18985.0	14286	5789	20278.0
"CT"	2012	"Westbrook"	2	2028	1066	3323.0					1602	1527	3390.0	1903	1605	3553.0
"CT"	2012	"Weston"	4	2965	2322	5349.0					2797	2407	5372.0	2947	2536	5532.0
"CT"	2012	"Westport"	4	8256	6058	14525.0					8181	5894	14583.0	8495	6439	15048.0
"CT"	2012	"Wethersfield"	1	7705	4267	12739.0					6686	5635	13167.0	7753	6015	13936.0
"CT"	2012	"Willington"	2	1671	793	2706.0					1371	1165	2752.0	1538	1241	2830.0
"CT"	2012	"Wilton"	4	4732	4931	9795.0					4328	5107	9834.0	4589	5424	10115.0
"CT"	2012	"Winchester"	1	2140	1744	4239.0					1794	2339	4513.0	2201	2389	4680.0
"CT"	2012	"Windham"	2	5523	1082	7195.0					4743	2041	7389.0	5818	1944	7875.0
"CT"	2012	"Windsor"	1	10748	3198	14868.0					9974	4291	15356.0	11463	4305	15940.0
"CT"	2012	"Windsor Locks"	1	3109	1691	5289.0					2536	2410	5491.0	3178	2456	5726.0
"CT"	2012	"Wolcott"	5	2895	4174	7642.0					2686	4811	8101.0	3139	5077	8298.0
"CT"	2012	"Woodbridge"	3	3328	1502	5018.0					2849	1938	5035.0	3018	2109	5169.0
"CT"	2012	"Woodbury"	5	2161	2847	5246.0					2193	2959	5413.0	2434	3058	5554.0
"CT"	2012	"Woodstock"	2	2293	1444	4024.0					1792	1973	4075.0	2021	2134	4222.0
