state	year	precinct	precinct_code	g2012_USP_dv	g2012_USP_ldv	g2012_USP_adv	g2012_USP_rv	g2012_USP_lrv	g2012_USP_arv	g2012_USS_dv	g2012_USS_ldv	g2012_USS_adv	g2012_USS_rv	g2012_USS_lrv	g2012_USS_arv	g2012_USP_tv	g2012_USP_atv	g2012_USP_ltv	g2012_USS_tv	g2012_USS_atv	g2012_USS_ltv	cd	g2012_USH_dv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_rv	g2012_USH_lrv	g2012_USH_arv	g2012_USH_tv	g2012_USH_atv	g2012_USH_ltv	ld	g2012_STH_dv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_rv	g2012_STH_lrv	g2012_STH_arv	g2012_STH_tv	g2012_STH_atv	g2012_STH_ltv	sd	g2012_STS_dv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_rv	g2012_STS_lrv	g2012_STS_arv	g2012_STS_tv	g2012_STS_atv	g2012_STS_ltv
"RI"	2012	"North Providence Limited"	2417	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1																				
"RI"	2012	"North Providence President"	2418	269	261	8	62	60	2							338	10	328	0	0	0																														
"RI"	2012	"North Smithfield 2501"	2501	627	609	18	613	586	27	664	641	23	547	525	22	1269	45	1224	1214	45	1169	1	474	459	15	716	686	30	1262	47	1215	48	338	327	11	652	628	24	1245	46	1199	17	556	543	13				1181	45	1136
"RI"	2012	"North Smithfield 2502"	2502	677	644	33	778	729	49	760	719	41	673	633	40	1497	83	1414	1434	81	1353	1	495	468	27	903	853	50	1487	82	1405	48	358	342	16	852	800	52	1453	77	1376	17	498	471	27				1355	76	1279
"RI"	2012	"North Smithfield 2503"	2503	644	613	31	562	542	20	697	663	34	479	462	17	1232	54	1178	1177	51	1126	1	469	444	25	641	616	25	1210	50	1160	48	321	300	21	580	558	22	1192	52	1140	23	723	689	34	448	433	15	1176	50	1126
"RI"	2012	"North Smithfield 2504"	2504	638	607	31	556	518	38	672	641	31	496	459	37	1224	70	1154	1168	68	1100	1	506	479	27	652	608	44	1223	72	1151	48	352	335	17	552	513	39	1210	70	1140	24	896	849	47				919	47	872
"RI"	2012	"North Smithfield 2505"	2505	425	350	75	317	274	43	435	359	76	267	233	34	749	118	631	702	110	592	1	325	264	61	370	325	45	734	110	624	48	233	181	52	341	304	37	717	104	613	24	525	445	80				540	83	457
"RI"	2012	"North Smithfield Limited"	2506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																				
"RI"	2012	"North Smithfield President"	2507	39	39	0	26	26	0							66	0	66	0	0	0																														
"RI"	2012	"Pawtucket 2601"	2601	271	266	5	71	68	3	266	261	5	69	67	2	345	8	337	336	7	329	1	237	232	5	81	78	3	342	8	334	46	182	180	2	43	41	2	332	8	324	15	237	231	6				323	6	317
"RI"	2012	"Pawtucket 2602"	2602	637	619	18	61	60	1	617	600	17	70	69	1	706	20	686	688	18	670	1	592	576	16	84	82	2	698	19	679	58	628	613	15				643	15	628	15	578	561	17				664	19	645
"RI"	2012	"Pawtucket 2603"	2603	1021	991	30	312	305	7	1012	985	27	322	311	11	1357	40	1317	1336	38	1298	1	857	832	25	413	405	8	1346	38	1308	58	1068	1038	30				1121	32	1089	15	908	881	27				1269	36	1233
"RI"	2012	"Pawtucket 2604"	2604	587	568	19	231	224	7	597	578	19	221	214	7	832	26	806	819	26	793	1	449	433	16	306	296	10	824	26	798	58	634	615	19				682	24	658	15	524	510	14				771	24	747
"RI"	2012	"Pawtucket 2605"	2605	483	468	15	51	51	0	487	472	15	38	38	0	537	15	522	527	15	512	1	446	431	15	73	73	0	532	15	517	58	469	460	9				487	11	476	16	468	453	15				505	15	490
"RI"	2012	"Pawtucket 2606"	2606	498	489	9	35	33	2	490	481	9	34	32	2	534	11	523	524	11	513	1	460	450	10	47	47	0	531	11	520	58	476	465	11				485	11	474	16	469	459	10				504	11	493
"RI"	2012	"Pawtucket 2607"	2607	1296	1217	79	281	269	12	1300	1219	81	275	265	10	1607	92	1515	1578	91	1487	1	1126	1055	71	362	346	16	1592	91	1501	59	1303	1222	81				1331	81	1250	15	1234	1158	76				1520	87	1433
"RI"	2012	"Pawtucket 2608"	2608	1539	1456	83	328	291	37	1536	1440	96	323	296	27	1897	122	1775	1861	123	1738	1	1364	1279	85	403	369	34	1880	125	1755	59	1573	1480	93				1603	95	1508	15	1414	1342	72				1780	102	1678
"RI"	2012	"Pawtucket 2609"	2609	138	131	7	23	21	2	140	134	6	21	19	2	165	10	155	161	8	153	1	125	119	6	27	25	2	163	9	154	59	144	137	7				144	7	137	15	133	126	7				155	8	147
"RI"	2012	"Pawtucket 2610"	2610	125	115	10	9	9	0	121	111	10	8	8	0	134	10	124	129	10	119	1	113	104	9	13	12	1	131	10	121	59	123	113	10				123	10	113	16	117	107	10				125	10	115
"RI"	2012	"Pawtucket 2611"	2611	497	462	35	60	55	5	497	463	34	58	51	7	563	42	521	555	41	514	1	450	419	31	85	77	8	557	41	516	59	500	467	33				503	33	470	16	488	454	34				527	36	491
"RI"	2012	"Pawtucket 2612"	2612	648	622	26	282	276	6	692	665	27	250	244	6	956	33	923	944	33	911	1	539	513	26	353	346	7	952	33	919	60	789	760	29				806	29	777	8	716	689	27				929	33	896
"RI"	2012	"Pawtucket 2613"	2613	905	869	36	202	192	10	897	860	37	201	193	8	1129	47	1082	1103	45	1058	1	792	763	29	269	255	14	1124	45	1079	60	965	931	34				987	34	953	8	872	841	31				1069	41	1028
"RI"	2012	"Pawtucket 2614"	2614	779	757	22	162	160	2	798	777	21	157	155	2	952	24	928	957	23	934	1	706	685	21	212	209	3	966	24	942	60	849	828	21				858	21	837	8	779	758	21				929	23	906
"RI"	2012	"Pawtucket 2615"	2615	283	272	11	84	80	4	290	279	11	79	75	4	375	15	360	370	15	355	1	237	227	10	104	100	4	373	15	358	60	317	304	13				321	13	308	8	266	253	13				357	14	343
"RI"	2012	"Pawtucket 2616"	2616	88	83	5	34	34	0	92	87	5	30	30	0	124	5	119	122	5	117	1	69	65	4	43	42	1	124	5	119	60	97	93	4				97	4	93	18	98	94	4				98	4	94
"RI"	2012	"Pawtucket 2617"	2617	184	168	16	53	50	3	192	175	17	47	45	2	241	20	221	239	19	220	1	149	134	15	74	71	3	241	19	222	60	208	191	17				209	17	192	18	202	185	17				204	17	187
"RI"	2012	"Pawtucket 2618"	2618	1198	1147	51	517	498	19	1242	1185	57	498	484	14	1756	72	1684	1746	71	1675	1	896	855	41	755	731	24	1751	71	1680	61	1408	1351	57				1433	57	1376	8	1199	1156	43				1687	67	1620
"RI"	2012	"Pawtucket 2619"	2619	610	596	14	263	250	13	644	629	15	238	226	12	893	29	864	887	29	858	1	481	468	13	346	331	15	895	28	867	61	712	690	22				724	23	701	8	658	640	18				863	28	835
"RI"	2012	"Pawtucket 2620"	2620	1083	1031	52	402	382	20	1103	1047	56	391	376	15	1514	72	1442	1496	71	1425	1	876	834	42	533	510	23	1504	72	1432	61	1213	1156	57				1237	61	1176	8	1089	1039	50				1445	65	1380
"RI"	2012	"Pawtucket 2621"	2621	328	317	11	164	152	12	332	325	7	167	152	15	500	23	477	499	22	477	1	244	238	6	227	211	16	503	23	480	61	375	358	17				380	18	362	8	324	312	12				486	21	465
"RI"	2012	"Pawtucket 2622"	2622	197	193	4	77	70	7	191	186	5	80	75	5	280	11	269	271	10	261	1	145	141	4	108	102	6	276	11	265	61	219	211	8				220	8	212	18	217	209	8				219	8	211
"RI"	2012	"Pawtucket 2623"	2623	282	258	24	108	104	4	289	267	22	108	102	6	403	28	375	397	28	369	1	206	187	19	151	145	6	399	27	372	61	306	285	21				311	21	290	18	309	288	21				313	21	292
"RI"	2012	"Pawtucket 2624"	2624	268	246	22	188	179	9	267	248	19	186	176	10	465	31	434	454	29	425	1	189	175	14	250	234	16	463	30	433	62	324	300	24				337	25	312	8	266	248	18				441	31	410
"RI"	2012	"Pawtucket 2625"	2625	296	273	23	61	59	2	289	267	22	62	61	1	360	25	335	352	23	329	1	254	235	19	85	81	4	354	24	330	62	290	267	23				298	23	275	8	266	245	21				341	24	317
"RI"	2012	"Pawtucket 2626"	2626	201	196	5	8	8	0	195	192	3	10	9	1	211	5	206	206	4	202	1	190	187	3	14	13	1	210	4	206	62	196	192	4				197	4	193	15	194	190	4				204	4	200
"RI"	2012	"Pawtucket 2627"	2627	741	694	47	180	171	9	730	687	43	173	161	12	929	57	872	904	55	849	1	619	581	38	244	231	13	912	54	858	62	772	727	45				788	46	742	15	671	630	41				855	49	806
"RI"	2012	"Pawtucket 2628"	2628	891	845	46	428	409	19	943	899	44	373	353	20	1346	68	1278	1320	64	1256	1	693	663	30	564	537	27	1336	65	1271	62	1052	1004	48				1065	49	1016	18	1037	991	46				1052	47	1005
"RI"	2012	"Pawtucket 2629"	2629	1256	1215	41	446	429	17	1271	1226	45	431	414	17	1731	60	1671	1707	62	1645	1	1004	967	37	599	579	20	1724	61	1663	62	1415	1370	45				1436	46	1390	18	1388	1342	46				1414	47	1367
"RI"	2012	"Pawtucket 2630"	2630	94	85	9	32	30	2	98	89	9	29	28	1	130	11	119	127	10	117	1	75	70	5	46	44	2	126	9	117	62	100	91	9				101	9	92	18	98	89	9				99	9	90
"RI"	2012	"Pawtucket Limited"	2631	9	8	1	3	3	0	10	9	1	2	2	0	12	1	11	12	1	11	1	7	6	1	5	5	0	12	1	11																				
"RI"	2012	"Pawtucket President"	2632	722	708	14	72	68	4							800	18	782	0	0	0																														
"RI"	2012	"Portsmouth 2701"	2701	63	59	4	31	21	10	64	57	7	31	25	6	100	14	86	95	13	82	1	39	37	2	47	39	8	98	13	85	69	76	69	7				77	7	70	11				60	49	11	61	11	50
"RI"	2012	"Portsmouth 2702"	2702	124	109	15	133	121	12	131	116	15	127	117	10	267	27	240	258	25	233	1	98	87	11	149	137	12	263	25	238	69	176	158	18				181	18	163	11				195	177	18	196	18	178
"RI"	2012	"Portsmouth 2703"	2703	906	861	45	484	441	43	895	842	53	492	456	36	1432	91	1341	1393	89	1304	1	675	640	35	604	556	48	1417	88	1329	70	897	845	52				1295	80	1215	11				941	883	58	973	59	914
"RI"	2012	"Portsmouth 2704"	2704	1086	1008	78	858	796	62	1104	1025	79	816	759	57	1984	141	1843	1923	136	1787	1	787	734	53	1011	936	75	1951	137	1814	71	1426	1324	102				1471	104	1367	11				1429	1332	97	1451	99	1352
"RI"	2012	"Portsmouth 2705"	2705	341	313	28	297	257	40	340	308	32	283	250	33	644	68	576	623	65	558	1	266	238	28	329	293	36	635	67	568	71	417	380	37				424	37	387	11				442	392	50	445	50	395
"RI"	2012	"Portsmouth 2706"	2706	324	280	44	360	319	41	329	286	43	334	297	37	694	85	609	663	80	583	1	255	221	34	389	344	45	681	83	598	72	293	257	36	368	326	42	661	78	583	11				532	470	62	536	63	473
"RI"	2012	"Portsmouth 2707"	2707	1022	946	76	952	866	86	1074	990	84	851	777	74	2003	165	1838	1928	158	1770	1	788	717	71	1094	1010	84	1977	159	1818	72	909	836	73	997	914	83	1911	157	1754	11				1499	1377	122	1514	122	1392
"RI"	2012	"Portsmouth 2708"	2708	1043	951	92	968	876	92	1063	967	96	909	824	85	2044	185	1859	1974	181	1793	1	809	732	77	1110	1011	99	2032	183	1849	72	942	866	76	1026	928	98	1972	174	1798	11				1493	1355	138	1517	138	1379
"RI"	2012	"Portsmouth Limited"	2709	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	1																				
"RI"	2012	"Portsmouth President"	2710	108	107	1	82	74	8							194	9	185	0	0	0																														
"RI"	2012	"Providence 2801"	2801	125	120	5	15	15	0	121	116	5	16	16	0	142	5	137	137	5	132	1	114	110	4	20	20	0	140	4	136	1	117	112	5				131	5	126	1	132	127	5				132	5	127
"RI"	2012	"Providence 2802"	2802	134	125	9	54	47	7	145	136	9	42	36	6	190	16	174	187	15	172	1	121	112	9	58	51	7	184	16	168	1	127	118	9				167	12	155	3	140	131	9				146	11	135
"RI"	2012	"Providence 2803"	2803	1004	937	67	258	243	15	1000	932	68	274	259	15	1293	84	1209	1275	83	1192	1	893	835	58	324	306	18	1277	82	1195	1	933	873	60				1186	71	1115	3	1011	944	67				1038	68	970
"RI"	2012	"Providence 2804"	2804	374	361	13	48	47	1	387	373	14	53	52	1	458	15	443	441	15	426	1	352	339	13	58	57	1	437	15	422	1	341	330	11				401	12	389	3	369	357	12				381	12	369
"RI"	2012	"Providence 2805"	2805	1336	1225	111	351	330	21	1343	1234	109	358	335	23	1726	136	1590	1706	133	1573	1	1130	1035	95	444	415	29	1694	132	1562	1	1204	1108	96				1531	118	1413	3	1325	1221	104				1370	109	1261
"RI"	2012	"Providence 2806"	2806	100	88	12	27	25	2	100	87	13	27	26	1	131	14	117	127	14	113	1	81	68	13	34	33	1	126	14	112	1	91	79	12				112	14	98	3	99	86	13				102	13	89
"RI"	2012	"Providence 2807"	2807	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0				1	0	1	6	0	0	0	0	0	0	0	0	0
"RI"	2012	"Providence 2808"	2808	889	836	53	166	148	18	896	842	54	164	148	16	1093	71	1022	1064	70	994	1	743	698	45	226	208	18	1055	70	985	2	861	812	49				873	49	824	3	833	785	48				857	49	808
"RI"	2012	"Providence 2809"	2809	1103	1011	92	204	187	17	1086	1001	85	220	203	17	1352	110	1242	1311	102	1209	1	915	844	71	279	252	27	1317	104	1213	2	1113	1026	87				1129	87	1042	3	1067	984	83				1092	84	1008
"RI"	2012	"Providence 2810"	2810	50	45	5	1	1	0	49	44	5	4	4	0	53	5	48	53	5	48	1	40	36	4	6	6	0	51	5	46	2	51	46	5				51	5	46	6	41	36	5	6	6	0	48	5	43
"RI"	2012	"Providence 2811"	2811	922	866	56	70	62	8	905	850	55	74	66	8	1006	67	939	981	63	918	1	814	764	50	125	118	7	997	65	932	3	906	853	53	61	54	7	969	60	909	1	907	852	55				918	55	863
"RI"	2012	"Providence 2812"	2812	702	686	16	113	108	5	671	656	15	131	125	6	819	21	798	803	21	782	1	593	582	11	170	163	7	807	19	788	3	687	672	15	84	81	3	772	18	754	1	699	682	17				720	17	703
"RI"	2012	"Providence 2813"	2813	518	502	16	50	48	2	522	505	17	47	46	1	577	20	557	569	18	551	1	458	443	15	82	80	2	575	18	557	3	505	489	16	45	45	0	552	16	536	1	530	514	16				540	17	523
"RI"	2012	"Providence 2814"	2814	374	355	19	63	62	1	380	362	18	57	56	1	444	20	424	438	19	419	1	325	308	17	90	89	1	439	19	420	3	373	355	18	51	51	0	425	18	407	1	383	365	18				388	18	370
"RI"	2012	"Providence 2815"	2815	710	648	62	313	287	26	714	648	66	296	274	22	1027	88	939	1013	88	925	1	624	568	56	345	316	29	1019	87	932	4	460	409	51				965	86	879	3	697	625	72				724	72	652
"RI"	2012	"Providence 2816"	2816	1498	1384	114	284	255	29	1524	1411	113	283	258	25	1849	145	1704	1812	139	1673	1	1304	1203	101	370	339	31	1827	140	1687	4	965	877	88				1772	134	1638	3	1429	1323	106				1490	114	1376
"RI"	2012	"Providence 2817"	2817	1572	1500	72	296	284	12	1559	1488	71	312	302	10	1910	84	1826	1875	82	1793	1	1324	1257	67	402	392	10	1880	83	1797	4	931	874	57				1834	81	1753	3	1467	1400	67				1528	70	1458
"RI"	2012	"Providence 2818"	2818	1512	1433	79	132	126	6	1510	1433	77	154	145	9	1691	88	1603	1670	86	1584	1	1333	1263	70	202	193	9	1673	86	1587	4	1234	1168	66				1644	84	1560	6	1427	1353	74	179	173	6	1616	82	1534
"RI"	2012	"Providence 2819"	2819	952	900	52	312	295	17	968	915	53	290	277	13	1280	69	1211	1260	66	1194	1	761	718	43	435	415	20	1278	67	1211	5	932	886	46				1192	53	1139	1	1052	1003	49				1072	49	1023
"RI"	2012	"Providence 2820"	2820	121	108	13	35	35	0	121	106	15	38	38	0	158	14	144	160	15	145	1	99	86	13	51	51	0	159	15	144	5	123	110	13				154	15	139	4	126	112	14				154	15	139
"RI"	2012	"Providence 2821"	2821	758	732	26	131	127	4	747	721	26	138	133	5	903	31	872	886	31	855	1	604	584	20	228	219	9	888	30	858	5	633	610	23				863	28	835	4	719	696	23				868	29	839
"RI"	2012	"Providence 2822"	2822	170	152	18	12	12	0	168	151	17	15	15	0	187	18	169	184	17	167	1	146	132	14	21	21	0	181	14	167	9	162	151	11				166	12	154	2	144	132	12				170	12	158
"RI"	2012	"Providence 2823"	2823	1002	970	32	53	53	0	982	950	32	53	53	0	1062	32	1030	1035	32	1003	1	896	869	27	96	93	3	1044	32	1012	10	967	936	31	53	53	0	1024	31	993	2	826	799	27				1028	31	997
"RI"	2012	"Providence 2824"	2824	1209	1161	48	142	136	6	1191	1140	51	153	150	3	1367	54	1313	1347	54	1293	1	1047	1002	45	229	221	8	1358	55	1303	10	1186	1136	50	155	150	5	1345	55	1290	2	1024	977	47				1329	52	1277
"RI"	2012	"Providence 2825"	2825	187	175	12	6	6	0	181	170	11	8	8	0	195	12	183	189	11	178	1	172	163	9	11	10	1	190	10	180	10	179	168	11	6	6	0	185	11	174	2	164	154	10				188	11	177
"RI"	2012	"Providence 2826"	2826	974	925	49	56	53	3	936	887	49	68	64	4	1051	52	999	1007	53	954	1	838	795	43	115	109	6	1025	52	973	11	904	863	41	86	79	7	994	48	946	2	809	772	37				987	49	938
"RI"	2012	"Providence 2827"	2827	1071	1044	27	42	40	2	1036	1010	26	47	45	2	1123	29	1094	1088	29	1059	1	962	939	23	85	82	3	1099	29	1070	11	1015	994	21	53	50	3	1072	24	1048	2	898	877	21				1079	24	1055
"RI"	2012	"Providence 2828"	2828	615	600	15	31	31	0	600	584	16	43	43	0	663	16	647	645	16	629	1	544	533	11	63	61	2	652	16	636	11	589	576	13	42	40	2	633	15	618	2	540	529	11				623	14	609
"RI"	2012	"Providence 2829"	2829	829	803	26	62	58	4	815	788	27	75	72	3	911	30	881	892	30	862	1	741	715	26	112	109	3	895	30	865	11	798	773	25	77	73	4	876	29	847	6	788	762	26	77	73	4	869	30	839
"RI"	2012	"Providence 2830"	2830	69	67	2	4	4	0	70	67	3	2	2	0	74	2	72	73	3	70	1	63	62	1	3	3	0	71	1	70	11	66	66	0	3	3	0	69	0	69	6	67	67	0	2	2	0	69	0	69
"RI"	2012	"Providence 2831"	2831	1282	1219	63	28	27	1	1265	1201	64	32	32	0	1316	64	1252	1299	64	1235	1	1169	1115	54	83	80	3	1301	57	1244	12	1232	1185	47				1239	47	1192	6	1223	1176	47	39	39	0	1264	47	1217
"RI"	2012	"Providence 2832"	2832	980	964	16	50	48	2	965	950	15	54	51	3	1037	18	1019	1021	18	1003	1	890	877	13	100	96	4	1026	17	1009	12	946	933	13				958	13	945	6	925	913	12	70	69	1	996	13	983
"RI"	2012	"Providence 2833"	2833	533	520	13	15	14	1	517	503	14	21	20	1	553	15	538	539	15	524	1	492	479	13	28	27	1	538	15	523	12	517	503	14				519	14	505	6	510	495	15	19	19	0	530	15	515
"RI"	2012	"Providence 2834"	2834	231	224	7	18	18	0	227	220	7	18	18	0	251	7	244	245	7	238	1	211	204	7	30	30	0	250	7	243	12	220	215	5				222	5	217	28	220	214	6	21	21	0	241	6	235
"RI"	2012	"Providence 2835"	2835	80	74	6	45	38	7	83	79	4	42	33	9	127	13	114	126	13	113	2	78	73	5	42	34	8	124	13	111	1	71	68	3				103	7	96	1	92	87	5				93	5	88
"RI"	2012	"Providence 2836"	2836	7	7	0	0	0	0	7	7	0	0	0	0	7	0	7	7	0	7	2	6	6	0	0	0	0	7	0	7	1	6	6	0				7	0	7	6	7	7	0	0	0	0	7	0	7
"RI"	2012	"Providence 2837"	2837	291	275	16	114	110	4	293	273	20	119	114	5	423	24	399	416	25	391	2	261	245	16	109	104	5	415	25	390	2	311	290	21				318	21	297	1	323	304	19				332	19	313
"RI"	2012	"Providence 2838"	2838	183	161	22	50	45	5	182	157	25	50	46	4	240	29	211	233	29	204	2	161	143	18	45	41	4	223	23	200	2	179	165	14				180	14	166	5	188	174	14				192	14	178
"RI"	2012	"Providence 2839"	2839	336	321	15	46	46	0	322	307	15	52	52	0	394	15	379	375	15	360	2	289	277	12	48	47	1	371	14	357	2	321	307	14				325	14	311	6	284	272	12	72	70	2	359	14	345
"RI"	2012	"Providence 2840"	2840	405	378	27	15	11	4	395	371	24	18	13	5	423	31	392	414	29	385	2	381	358	23	18	13	5	410	30	380	2	380	355	25				383	25	358	6	378	355	23	28	22	6	409	29	380
"RI"	2012	"Providence 2841"	2841	245	236	9	20	19	1	246	237	9	18	17	1	271	10	261	266	10	256	2	217	209	8	20	19	1	263	9	254	3	239	232	7	14	13	1	255	8	247	1	253	243	10				255	10	245
"RI"	2012	"Providence 2842"	2842	150	136	14	28	27	1	149	134	15	30	30	0	179	15	164	179	15	164	2	136	124	12	30	29	1	181	15	166	5	114	102	12				177	15	162	1	156	142	14				160	14	146
"RI"	2012	"Providence 2843"	2843	198	191	7	100	96	4	193	186	7	101	97	4	303	11	292	296	11	285	2	181	174	7	90	86	4	298	11	287	5	184	177	7				276	11	265	4	174	168	6				280	11	269
"RI"	2012	"Providence 2844"	2844	643	605	38	249	236	13	654	615	39	241	230	11	915	52	863	898	50	848	2	613	577	36	218	206	12	896	48	848	5	629	593	36				856	47	809	4	631	603	28				869	47	822
"RI"	2012	"Providence 2845"	2845	385	373	12	206	196	10	384	370	14	213	206	7	610	23	587	600	21	579	2	350	340	10	201	191	10	601	22	579	6	507	487	20				521	20	501	4	375	357	18				574	22	552
"RI"	2012	"Providence 2846"	2846	484	464	20	183	171	12	491	470	21	177	164	13	676	33	643	668	34	634	2	459	440	19	171	161	10	666	30	636	6	556	529	27				570	29	541	4	405	381	24				647	32	615
"RI"	2012	"Providence 2847"	2847	335	331	4	27	27	0	334	331	3	26	25	1	367	4	363	362	4	358	2	319	315	4	27	27	0	360	4	356	6	333	330	3				335	3	332	5	329	326	3				331	3	328
"RI"	2012	"Providence 2848"	2848	87	84	3	9	9	0	77	74	3	17	17	0	97	3	94	94	3	91	2	72	69	3	17	17	0	95	3	92	6	84	81	3				86	3	83	5	82	79	3				84	3	81
"RI"	2012	"Providence 2849"	2849	683	622	61	227	206	21	682	616	66	232	215	17	930	85	845	915	83	832	2	649	584	65	195	183	12	914	83	831	6	817	746	71				843	74	769	7	529	478	51				881	79	802
"RI"	2012	"Providence 2850"	2850	398	388	10	72	69	3	395	385	10	75	72	3	471	13	458	472	13	459	2	375	367	8	72	69	3	468	12	456	6	421	409	12				435	12	423	7	364	354	10				453	13	440
"RI"	2012	"Providence 2851"	2851	595	536	59	233	218	15	601	544	57	234	218	16	848	76	772	837	73	764	2	540	484	56	216	201	15	829	73	756	7	655	603	52				672	54	618	1	657	604	53				678	54	624
"RI"	2012	"Providence 2852"	2852	213	206	7	32	31	1	210	202	8	30	30	0	250	8	242	242	8	234	2	203	195	8	28	28	0	241	8	233	7	213	206	7				217	7	210	1	213	206	7				217	7	210
"RI"	2012	"Providence 2853"	2853	151	141	10	41	39	2	160	150	10	35	31	4	199	14	185	195	14	181	2	137	126	11	36	35	1	196	14	182	7	167	155	12				168	12	156	1	160	147	13				166	13	153
"RI"	2012	"Providence 2854"	2854	1246	1190	56	354	337	17	1241	1189	52	374	358	16	1635	73	1562	1619	68	1551	2	1159	1110	49	339	324	15	1609	71	1538	7	1285	1236	49				1313	50	1263	5	1352	1292	60				1389	60	1329
"RI"	2012	"Providence 2855"	2855	980	942	38	142	136	6	981	940	41	154	147	7	1149	48	1101	1138	48	1090	2	944	907	37	133	127	6	1129	46	1083	7	1006	966	40				1023	42	981	5	1027	985	42				1043	43	1000
"RI"	2012	"Providence 2856"	2856	39	38	1	5	5	0	37	36	1	7	7	0	44	1	43	44	1	43	2	39	38	1	4	4	0	44	1	43	7	40	39	1				40	1	39	5	35	34	1				37	1	36
"RI"	2012	"Providence 2857"	2857	83	77	6	14	13	1	83	78	5	17	14	3	100	7	93	100	8	92	2	79	72	7	12	11	1	95	8	87	8	86	81	5				87	6	81	1	84	79	5				85	5	80
"RI"	2012	"Providence 2858"	2858	316	305	11	29	28	1	313	300	13	36	36	0	350	13	337	350	13	337	2	300	287	13	31	31	0	347	13	334	8	319	306	13				324	13	311	1	321	308	13				325	13	312
"RI"	2012	"Providence 2859"	2859	88	86	2	9	9	0	88	87	1	9	9	0	102	2	100	98	1	97	2	72	71	1	9	9	0	96	1	95	8	75	74	1				84	1	83	1	86	85	1				87	1	86
"RI"	2012	"Providence 2860"	2860	96	94	2	9	8	1	98	96	2	7	6	1	108	3	105	106	3	103	2	92	90	2	9	8	1	108	3	105	8	100	97	3				102	3	99	5	97	94	3				99	3	96
"RI"	2012	"Providence 2861"	2861	849	820	29	128	115	13	838	808	30	156	145	11	1024	44	980	998	41	957	2	745	720	25	131	119	12	995	43	952	8	847	816	31				898	37	861	5	874	837	37				901	38	863
"RI"	2012	"Providence 2862"	2862	823	772	51	146	139	7	825	775	50	140	134	6	1002	59	943	972	56	916	2	730	690	40	127	119	8	966	55	911	8	855	808	47				895	48	847	5	838	794	44				871	46	825
"RI"	2012	"Providence 2863"	2863	505	492	13	44	37	7	502	489	13	48	43	5	560	20	540	551	18	533	2	465	454	11	42	37	5	546	18	528	8	512	495	17				518	17	501	5	502	484	18				505	18	487
"RI"	2012	"Providence 2864"	2864	247	245	2	21	21	0	243	240	3	21	21	0	274	3	271	266	3	263	2	220	218	2	23	23	0	268	3	265	9	248	245	3				253	3	250	2	222	220	2				262	3	259
"RI"	2012	"Providence 2865"	2865	235	231	4	8	8	0	226	221	5	9	9	0	243	4	239	235	5	230	2	220	215	5	9	9	0	233	5	228	9	224	221	3				225	3	222	5	224	221	3				225	3	222
"RI"	2012	"Providence 2866"	2866	674	630	44	54	48	6	685	637	48	53	50	3	752	53	699	740	51	689	2	544	508	36	48	43	5	726	49	677	9	628	590	38				649	39	610	5	632	593	39				660	41	619
"RI"	2012	"Providence 2867"	2867	60	59	1	6	5	1	60	59	1	6	5	1	69	2	67	67	2	65	2	60	59	1	5	4	1	68	2	66	9	59	59	0				60	0	60	5	60	60	0				61	0	61
"RI"	2012	"Providence 2868"	2868	691	649	42	25	21	4	686	646	40	27	24	3	720	46	674	715	43	672	2	653	621	32	23	21	2	702	36	666	9	653	625	28				665	28	637	6	644	618	26	40	35	5	690	31	659
"RI"	2012	"Providence 2869"	2869	128	127	1	4	4	0	122	121	1	5	5	0	132	1	131	127	1	126	2	113	112	1	7	7	0	126	1	125	9	114	113	1				114	1	113	7	109	108	1				123	1	122
"RI"	2012	"Providence 2870"	2870	633	619	14	85	81	4	635	619	16	77	74	3	724	19	705	712	19	693	2	631	616	15	62	59	3	707	19	688	9	634	617	17				644	17	627	7	590	575	15				685	18	667
"RI"	2012	"Providence 2871"	2871	427	410	17	57	55	2	419	402	17	56	54	2	493	19	474	481	19	462	2	391	378	13	49	47	2	474	17	457	10	426	412	14	43	41	2	479	16	463	2	381	369	12				474	16	458
"RI"	2012	"Providence 2872"	2872	65	60	5	15	14	1	61	56	5	16	15	1	80	6	74	77	6	71	2	48	45	3	19	18	1	75	4	71	10	55	53	2	17	15	2	72	4	68	2	53	51	2				70	3	67
"RI"	2012	"Providence 2873"	2873	88	85	3	11	11	0	89	87	2	9	9	0	102	3	99	98	2	96	2	83	81	2	11	11	0	98	2	96	10	83	81	2	14	14	0	97	2	95	2	71	69	2				97	2	95
"RI"	2012	"Providence 2874"	2874	801	767	34	219	212	7	831	794	37	187	182	5	1030	42	988	1018	42	976	2	787	753	34	187	183	4	1012	42	970	13	899	862	37				919	37	882	7	780	747	33				960	40	920
