state	year	precinct	precinct_code	g2012_USP_dv	g2012_USP_ldv	g2012_USP_adv	g2012_USP_rv	g2012_USP_lrv	g2012_USP_arv	g2012_USS_dv	g2012_USS_ldv	g2012_USS_adv	g2012_USS_rv	g2012_USS_lrv	g2012_USS_arv	g2012_USP_tv	g2012_USP_atv	g2012_USP_ltv	g2012_USS_tv	g2012_USS_atv	g2012_USS_ltv	cd	g2012_USH_dv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_rv	g2012_USH_lrv	g2012_USH_arv	g2012_USH_tv	g2012_USH_atv	g2012_USH_ltv	ld	g2012_STH_dv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_rv	g2012_STH_lrv	g2012_STH_arv	g2012_STH_tv	g2012_STH_atv	g2012_STH_ltv	sd	g2012_STS_dv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_rv	g2012_STS_lrv	g2012_STS_arv	g2012_STS_tv	g2012_STS_atv	g2012_STS_ltv
"RI"	2012	"Jamestown 1501"	1501	1092	980	112	639	583	56	1061	948	113	622	570	52	1779	173	1606	1687	166	1521	1	835	740	95	772	705	67	1744	172	1572	74	1207	1089	118	515	464	51	1722	169	1553	13	1146	1027	119	561	513	48	1712	169	1543
"RI"	2012	"Jamestown 1502"	1502	1063	960	103	678	615	63	1032	926	106	655	601	54	1784	169	1615	1688	160	1528	1	821	745	76	810	737	73	1769	163	1606	74	1155	1034	121	567	529	38	1723	159	1564	13	1115	1009	106	617	560	57	1733	163	1570
"RI"	2012	"Jamestown Limited"	1503	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1																				
"RI"	2012	"Jamestown President"	1504	25	24	1	12	11	1							39	2	37	0	0	0																														
"RI"	2012	"Johnston 1601"	1601	549	534	15	356	342	14	558	541	17	335	323	12	931	29	902	901	29	872	2	539	524	15	310	300	10	919	26	893	13	699	681	18				711	18	693	25	712	693	19				724	19	705
"RI"	2012	"Johnston 1602"	1602	676	647	29	414	401	13	666	638	28	364	353	11	1106	43	1063	1034	39	995	2	669	639	30	348	341	7	1069	41	1028	42	849	815	34				868	35	833	25	811	776	35				829	36	793
"RI"	2012	"Johnston 1603"	1603	721	663	58	398	378	20	728	669	59	362	349	13	1135	78	1057	1090	72	1018	2	719	666	53	334	318	16	1118	74	1044	42	935	872	63				951	63	888	25	893	833	60				905	60	845
"RI"	2012	"Johnston 1604"	1604	635	582	53	509	475	34	669	610	59	465	440	25	1162	89	1073	1137	85	1052	2	683	624	59	421	397	24	1159	87	1072	42	912	841	71				935	73	862	25	884	813	71				907	73	834
"RI"	2012	"Johnston 1605"	1605	609	582	27	490	476	14	626	598	28	457	445	12	1116	42	1074	1089	40	1049	2	610	583	27	408	395	13	1106	41	1065	42	888	859	29				911	30	881	25	837	811	26				862	27	835
"RI"	2012	"Johnston 1606"	1606	129	127	2	91	84	7	135	131	4	77	72	5	223	9	214	212	9	203	2	133	131	2	71	64	7	217	10	207	43	139	134	5				205	7	198	22	140	136	4	69	64	5	209	9	200
