state	year	county	electiondistrictbeat	precinct	precinct_code	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv
"MS"	2012	"Tunica"		"Banks/Harmbrick"		2	503	48	551					563	41	606	481	57	538
"MS"	2012	"Tunica"		"Watsonville"		2	138	8	146					177	5	183	128	14	142
"MS"	2012	"Tunica"		"Prichard"		2	280	25	305					300	25	325	257	28	285
"MS"	2012	"Tunica"		"Tunica"		2	461	93	554					496	103	601	424	107	531
"MS"	2012	"Tunica"		"Courthouse"		2	288	162	450					285	199	489	253	201	454
"MS"	2012	"Tunica"		"Evansville-Highway 61"		2	401	41	442					427	43	475	374	60	434
"MS"	2012	"Tunica"		"Justice Court Building"		2	349	87	436					388	104	493	301	108	409
"MS"	2012	"Tunica"		"Mhbon Landing"	"*"	2	63	41	104					53	64	118	58	52	110
"MS"	2012	"Tunica"		"West End Store"		2	77	23	100					75	28	103	66	27	93
"MS"	2012	"Tunica"		"Supt. Of Education"		2	95	77	172					111	90	203	89	92	181
"MS"	2012	"Tunica"		"Two-Mile Lake"		2	354	78	432					365	104	473	304	105	409
"MS"	2012	"Union"		"Macedonia"		1	32	211	243					34	229	266	30	226	256
"MS"	2012	"Union"		"Blythe"		1	28	161	189					29	170	201	27	168	195
"MS"	2012	"Union"		"Myrtle"		1	231	674	905					208	729	950	193	730	923
"MS"	2012	"Union"		"Glenfield"		1	183	434	617					185	451	643	163	472	635
"MS"	2012	"Union"		"Pinedale"		1	53	275	328					37	298	340	29	299	328
"MS"	2012	"Union"		"West Union"		1	75	430	505					73	448	525	54	462	516
"MS"	2012	"Union"		"King's Chapel"		1	73	270	343					57	290	349	58	293	351
"MS"	2012	"Union"		"Courthouse"		1	211	467	678					231	489	729	182	518	700
"MS"	2012	"Union"		"Blue Springs"		1	98	329	427					93	356	455	75	361	436
"MS"	2012	"Union"		"Center"		1	52	278	330					29	305	340	28	307	335
"MS"	2012	"Union"		"Ingomar"		1	176	502	678					156	549	712	142	552	694
"MS"	2012	"Union"		"Sportsplex"		1	296	559	855					338	557	900	268	607	875
"MS"	2012	"Union"		"NE Community College"		1	359	755	1114					377	801	1186	304	840	1144
"MS"	2012	"Union"		"Hillcrest Church"		1	309	364	673					338	365	709	294	388	682
"MS"	2012	"Union"		"Central Maintenance"		1	131	594	725					129	619	757	115	625	740
"MS"	2012	"Union"		"Beacon Hill"		1	147	402	549					111	447	568	117	435	552
"MS"	2012	"Union"		"Keownville"		1	93	384	477					62	437	502	66	422	488
"MS"	2012	"Union"		"Pleasant Ridge"		1	41	153	194					36	160	202	33	168	201
"MS"	2012	"Union"		"Iericho"		1	50	227	277					34	247	288	37	243	280
"MS"	2012	"Union"		"East Union"		1	215	503	718					187	551	745	179	553	732
"MS"	2012	"Walthall"		"Midway"		3		153	189					52	159	212	50	144	194
"MS"	2012	"Walthall"		"Lexie"		3		519	581					134	503	649	105	484	589
"MS"	2012	"Walthall"		"South Kirklin"		3		123	147					52	125	179	54	110	164
"MS"	2012	"Walthall"		"North Kirklin"		3		237	343					284	180	467	232	184	416
"MS"	2012	"Walthall"		"East Tylertown"		3		77	84					7	77	85	6	75	81
"MS"	2012	"Walthall"		"West Tylertown"		3		191	297					271	145	419	213	143	356
"MS"	2012	"Walthall"		"Mesa"		3		50	55					9	46	56	10	47	57
"MS"	2012	"Walthall"		"South Knoxo"		3		76	99					44	72	116	27	71	98
"MS"	2012	"Walthall"		"North Knoxo"		3		173	391					649	52	706	501	93	594
"MS"	2012	"Walthall"		"Dexter"		3		412	515					185	401	592	161	374	535
"MS"	2012	"Walthall"		"Improva"		3		314	370					153	322	475	129	290	419
"MS"	2012	"Walthall"		"3rd District Tylertown"		3		262	293					70	252	326	58	242	300
"MS"	2012	"Walthall"		"4th District Tylertown"		3		398	440					66	392	462	57	376	433
"MS"	2012	"Walthall"		"Varnel"		3		393	467					133	381	519	125	361	486
"MS"	2012	"Walthall"		"Sartlnsville"	"*"	3		115	143					69	100	172	60	98	158
"MS"	2012	"Walthall"		"Darbun"		3		144	155					27	139	167	27	134	161
"MS"	2012	"Walthall"		"4th District West"		3		270	294					53	267	326	47	260	307
"MS"	2012	"Walthall"		"Dinan"		3		290	546					542	160	718	449	182	631
"MS"	2012	"Walthall"		"Enon"		3		211	270					119	197	318	102	191	293
"MS"	2012	"Walthall"		"St Paul"		3		111	233					286	59	346	245	62	307
"MS"	2012	"Walthall"		"Hope"		3		53	114					217	22	241	164	27	191
"MS"	2012	"Warren"		"Oak Ridge"		2	29	89	118					29	93	122	28	92	120
"MS"	2012	"Warren"		"Redwood"		2	20	111	131					18	120	138	15	118	133
"MS"	2012	"Warren"		"Bovina"		2	242	691	933					248	729	977	218	722	940
"MS"	2012	"Warren"		"Culkin"		2	1070	2488	3558					1081	2615	3696	984	2568	3552
"MS"	2012	"Warren"		"Cedar Grove"		2	791	165	956					833	159	992	733	184	917
"MS"	2012	"Warren"		"Kings"		2	619	292	911					650	303	953	558	322	880
"MS"	2012	"Warren"		"St Aloysius"		2	295	8	303					315	10	325	256	26	282
"MS"	2012	"Warren"		"Auditorium"		2	1019	103	1122					1068	90	1158	895	147	1042
"MS"	2012	"Warren"		"Brunswick"		2	44	197	241					37	222	259	39	211	250
"MS"	2012	"Warren"				2	44	82	126					48	86	134	42	84	126
"MS"	2012	"Warren"		"American Legion Post"		2	1058	252	1310					1143	242	1385	974	287	1261
"MS"	2012	"Warren"		"Vicksburg Junior High School"		2	1171	383	1554					1221	383	1604	1038	427	1465
"MS"	2012	"Warren"		"No. 7 Fire Station"		2	442	197	639					459	201	660	381	210	591
"MS"	2012	"Warren"		"Jett"		2	826	457	1283					873	488	1361	777	519	1296
"MS"	2012	"Warren"		"Goodrum"		2	245	526	771					241	569	810	213	568	781
"MS"	2012	"Warren"		"Yokena"		2	196	335	531					177	370	547	157	360	517
"MS"	2012	"Warren"		"Elks Lodge"		2	531	660	1191					550	680	1230	491	684	1175
"MS"	2012	"Warren"		"Beechwood"		2	278	908	1186					387	965	1352	246	956	1202
"MS"	2012	"Warren"		"Moose Lodge"		2	261	682	943					262	706	968	244	697	941
"MS"	2012	"Warren"		"Tingleville"		2	701	452	1153					735	470	1205	644	471	1115
"MS"	2012	"Warren"		"Plumbers & Pipefitters"		2	306	545	851					299	608	907	282	604	886
"MS"	2012	"Warren"		"Ymca"		2	211	336	547					212	348	560	194	353	547
"MS"	2012	"Washington"		"St. James Episcopal Church"		2	1322	646	1968					1311	722	2047	1114	770	1884
"MS"	2012	"Washington"		"Covenant Presbyterian"		2	285	808	1093					262	868	1135	229	877	1106
"MS"	2012	"Washington"		"Swiftwater Baptist Church"		2	161	409	570					102	513	618	108	477	585
"MS"	2012	"Washington"		"Glen Allan Library"		2	198	205	403					203	220	426	149	232	381
"MS"	2012	"Washington"		"Ward's Recreation Center"		2	1039	789	1828					999	908	1913	859	941	1800
"MS"	2012	"Washington"		"Buster Brown Community Center"		2	1085	333	1418					1103	369	1481	933	414	1347
"MS"	2012	"Washington"		"Arcola Technology Center"		2	301	121	422					306	143	451	249	146	395
"MS"	2012	"Washington"		"Tampa Drive"		2	311	85	396					325	102	427	279	101	380
"MS"	2012	"Washington"		"Greenville Daycare Center"		2	647	9	656					679	2	684	544	35	579
"MS"	2012	"Washington"		"Extension Building"		2	636	18	654					669	8	678	513	50	563
"MS"	2012	"Washington"		"Lake Vista Masonic Lodge"		2	894	220	1114					907	245	1162	771	268	1039
"MS"	2012	"Washington"		"Metcalfe Municipal Building"		2	554	25	579					532	30	562	403	43	446
"MS"	2012	"Washington"		"Elks Lodge"		2	1653	57	1710					1706	74	1788	1410	141	1551
"MS"	2012	"Washington"		"Leland Health Department"		2	945	457	1402					980	498	1483	831	526	1357
"MS"	2012	"Washington"		"Leland Rotary Club"		2	677	377	1054					666	419	1092	560	437	997
"MS"	2012	"Washington"		"Hollandale City Hall"		2	1035	237	1272					1056	255	1313	892	309	1201
"MS"	2012	"Washington"		"Darlove"		2	38	49	87					36	39	75	27	41	68
"MS"	2012	"Washington"		"Washington County Convention Center"		2	846	165	1011					841	227	1071	681	251	932
"MS"	2012	"Washington"		"Greenville Industrial College"		2	1236	22	1258					1298	9	1309	1026	58	1084
"MS"	2012	"Wayne"		"Waynesboro City 1"		4	522	32	554					575	11	587	529	22	551
"MS"	2012	"Wayne"		"Waynesboro City 2"		4	396	410	806					447	400	851	411	392	803
"MS"	2012	"Wayne"		"Waynesboro City 3"		4	251	642	893					276	650	934	264	634	898
"MS"	2012	"Wayne"		"Waynesboro City 4"		4	245	111	356					285	106	393	252	108	360
"MS"	2012	"Wayne"		"Waynesboro City 5"		4	214	127	341					247	127	375	229	123	352
"MS"	2012	"Wayne"		"State Line"		4	258	338	596					284	350	637	279	318	597
"MS"	2012	"Wayne"		"Eucinta"		4	54	129	183					58	140	201	60	133	193
"MS"	2012	"Wayne"		"Buckatunna"		4	274	253	527					331	248	584	281	246	527
"MS"	2012	"Wayne"		"Winchester"		4	323	216	539					364	205	572	336	246	582
"MS"	2012	"Wayne"		"Diamond"		4	160	16	176					183	8	191	168	12	180
"MS"	2012	"Wayne"		"Beat Four"		4	77	495	572					72	541	620	84	497	581
"MS"	2012	"Wayne"		"Corinth"		4	20	229	249					10	247	265	20	239	259
"MS"	2012	"Wayne"		"Denham"		4	78	293	371					82	313	399	93	277	370
"MS"	2012	"Wayne"		"Hiwannee"		4	189	88	277					216	88	304	200	94	294
"MS"	2012	"Wayne"		"Strenghford"		4	10	135	145					6	149	159	13	135	148
"MS"	2012	"Wayne"		"Chicora"		4	67	215	282					69	234	309	84	209	293
"MS"	2012	"Wayne"		"Big Rock"		4	63	86	149					71	87	159	68	85	153
"MS"	2012	"Wayne"		"Matherville"		4	19	50	69					23	56	79	22	52	74
"MS"	2012	"Wayne"		"Mozingo"		4	64	247	311					72	258	332	74	239	313
"MS"	2012	"Wayne"		"Coyt"		4	4	58	62					2	66	68	5	56	61
"MS"	2012	"Wayne"		"Pleasant Grove"		4	124	320	444					142	321	466	136	311	447
"MS"	2012	"Wayne"		"Clara"		4	64	1053	1117					52	1134	1192	90	1044	1134
"MS"	2012	"Wayne"		"Chapparal"		4	78	64	142					90	62	152	79	68	147
"MS"	2012	"Wayne"		"Yellow Creek"		4	166	307	473					191	310	503	184	302	486
"MS"	2012	"Webster"		"Eupora No. 1"		1	361	410	771					444	405	857	378	443	821
"MS"	2012	"Webster"		"Bluff Springs"		1	69	73	142					69	78	149	60	48	108
"MS"	2012	"Webster"		"Eupora No. 2"		1	58	224	282					66	231	302	63	229	292
"MS"	2012	"Webster"		"Walthall"		1	30	281	311					28	292	324	33	284	317
"MS"	2012	"Webster"		"Bellafonaine"		1	39	172	211					35	184	221	38	177	215
"MS"	2012	"Webster"		"Caderetta"		1	12	91	103					12	99	113	12	100	112
"MS"	2012	"Webster"		"Eupora No. 3"		1	88	181	269					93	192	288	89	188	277
"MS"	2012	"Webster"		"Grady"		1	55	170	225					50	185	235	52	176	228
"MS"	2012	"Webster"		"Tomnolen"		1	45	279	324					40	294	340	40	291	331
"MS"	2012	"Webster"		"Fay"		1	13	97	110					13	99	115	13	98	111
"MS"	2012	"Webster"		"Mathiston"		1	72	379	451					70	407	479	74	390	464
"MS"	2012	"Webster"		"Maben"		1	132	278	410					133	301	436	124	296	420
"MS"	2012	"Webster"		"Big Black"		1	29	209	238					20	229	249	29	214	243
"MS"	2012	"Webster"		"Fame"		1	35	202	237					26	219	248	31	211	242
"MS"	2012	"Webster"		"Clarkson"		1	14	255	269					13	266	281	16	258	274
"MS"	2012	"Webster"		"Cumberland"		1	47	203	250					50	211	266	49	206	255
"MS"	2012	"Webster"		"Mantee"		1	36	284	320					28	300	331	32	292	324
"MS"	2012	"Wilkinson"		"Woodville"	"1010"	3		233	359					305	170	478	249	165	414
"MS"	2012	"Wilkinson"		"Centreville 1st"	"1020"	3		176	428					506	60	573	434	81	515
"MS"	2012	"Wilkinson"		"Woodvilee 2nd"	"2010"	3		213	481					585	90	677	516	93	609
"MS"	2012	"Wilkinson"		"Fort Adams"	"2020"	3		125	203					231	78	310	157	72	229
"MS"	2012	"Wilkinson"		"Centreville 3rd"	"3010"	3		495	706					501	380	883	431	354	785
"MS"	2012	"Wilkinson"		"Woodville 4th"	"4010"	3		231	529					802	67	870	680	89	769
"MS"	2012	"Wilkinson"		"Cold Springs"	"4020"	3		95	137					109	82	192	96	73	169
"MS"	2012	"Wilkinson"		"Woodville 5th"	"5010"	3		265	331					167	237	409	140	216	356
"MS"	2012	"Wilkinson"		"Longmire"	"5020"	3		261	386					206	250	460	205	220	425
"MS"	2012	"Winston"		"Fairground"		1	543	1196	1739					575	1212	1799	550	1216	1766
"MS"	2012	"Winston"		"Nanih Walya"		1	232	766	998					248	792	1050	239	788	1027
"MS"	2012	"Winston"		"Lovorn Tractor"		1	230	258	488					243	255	499	234	260	494
"MS"	2012	"Winston"		"American Legion"		1	675	117	792					761	90	855	701	128	829
"MS"	2012	"Winston"		"Zion Ridge"		1	388	53	441					439	47	489	403	64	467
"MS"	2012	"Winston"		"Shiloh"		1	132	311	443					134	334	473	123	334	457
"MS"	2012	"Winston"		"County Agent"		1	787	173	960					865	153	1023	808	182	990
"MS"	2012	"Winston"		"Mars Hill"		1	270	296	566					284	323	609	268	321	589
"MS"	2012	"Winston"		"Noxapater"		1	275	500	775					279	538	821	282	522	804
"MS"	2012	"Winston"		"New National Guard"		1	132	298	430					151	298	449	141	303	444
"MS"	2012	"Winston"		"East Winston"		1	197	401	598					182	436	619	184	425	609
"MS"	2012	"Winston"		"Mill Creek"		1	401	696	1097					446	690	1143	418	701	1119
"MS"	2012	"Yalobusha"	1	"Beat One North"		2	328	546	874					301	599	911	289	605	894
"MS"	2012	"Yalobusha"	1	"Beat One South"		2	184	187	371					164	233	399	150	231	381
"MS"	2012	"Yalobusha"	2	"Beat Two Water Valley"		2	784	360	1144					830	376	1210	719	442	1161
"MS"	2012	"Yalobusha"	3	"Three North West"		2	267	507	774					259	546	809	229	554	783
"MS"	2012	"Yalobusha"	3	"Three Sylva Rena"		2	158	290	448					125	342	471	133	320	453
"MS"	2012	"Yalobusha"	4	"Four Coffeeville"		2	418	79	497					433	81	517	390	108	498
"MS"	2012	"Yalobusha"	4	"Four Oakland"		2	521	316	837					511	347	869	457	379	836
"MS"	2012	"Yalobusha"	5	"Five Coffeeville"		2	271	325	596					226	384	616	220	383	603
"MS"	2012	"Yalobusha"	5	"Five Scoobey"		2	89	106	195					77	127	206	68	129	197
"MS"	2012	"Yalobusha"	5	"Five Souna - Vann's Mill"		2	61	80	141					51	92	144	41	101	142
"MS"	2012	"Yalobusha"	5	"Five Tillatoba"		2	79	108	187					53	149	202	55	140	195
"MS"	2012	"Yazoo"		"Mechanicsburg"		2	70	386	456					55	436	497	50	425	475
"MS"	2012	"Yazoo"		"East Bentonia"		2	135	177	312					127	205	335	102	213	315
"MS"	2012	"Yazoo"		"West Bentonia"		2	331	200	531					339	216	557	285	219	504
"MS"	2012	"Yazoo"		"Center Ridge"		2	82	323	405					55	374	431	53	362	415
"MS"	2012	"Yazoo"		"Dover"		2	77	239	316					63	270	337	54	262	316
"MS"	2012	"Yazoo"		"Robinette"		2	76	259	335					43	304	351	35	297	332
"MS"	2012	"Yazoo"		"Sacartia"	"*"	2	23	35	58					17	46	64	12	46	58
"MS"	2012	"Yazoo"		"Valley"		2	30	103	133					13	125	140	12	119	131
"MS"	2012	"Yazoo"		"Benton"		2	237	377	614					210	437	652	182	428	610
"MS"	2012	"Yazoo"		"Ward 2"		2	249	313	562					258	335	598	212	342	554
"MS"	2012	"Yazoo"		"Deasonville"		2	260	185	445					265	209	476	220	213	433
"MS"	2012	"Yazoo"		"Hartown"		2	198	48	246					211	46	260	122	56	178
"MS"	2012	"Yazoo"		"Zion"		2	76	172	248					63	204	267	61	192	253
"MS"	2012	"Yazoo"		"Fugates"		2	228	178	406					222	204	428	187	203	390
"MS"	2012	"Yazoo"		"3-1 West"		2	442	1	443					455	1	456	386	15	401
"MS"	2012	"Yazoo"		"3-2 East"		2	570	87	657					584	101	693	442	120	562
"MS"	2012	"Yazoo"		"Jonestown"		2	390	8	398					436	2	438	329	17	346
"MS"	2012	"Yazoo"		"304 South"		2	231	174	405					227	201	434	192	196	388
"MS"	2012	"Yazoo"		"Eden"		2	96	146	242					74	188	266	61	178	239
"MS"	2012	"Yazoo"		"East Midway"		2	224	66	290					225	79	308	183	84	267
"MS"	2012	"Yazoo"		"West Midway"		2	56	112	168					40	153	194	33	149	182
"MS"	2012	"Yazoo"		"Ward 4"		2	895	349	1244					914	406	1324	724	442	1166
"MS"	2012	"Yazoo"		"Free Run"		2	39	115	154					35	136	173	32	133	165
"MS"	2012	"Yazoo"		"Lake City"		2	53	116	169					46	130	176	35	129	164
"MS"	2012	"Yazoo"		"Holly Bluff"		2	93	84	177					86	110	197	66	107	173
"MS"	2012	"Yazoo"		"Ward 5"		2	1451	37	1488					1540	23	1568	1247	90	1337
