state	year	county	precinct	cd	g2012_REG_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	ld	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	ld2	g2012_STH_dv2	g2012_STH_rv2	g2012_STH_tv2	ld3	g2012_STH_dv3	g2012_STH_rv3	g2012_STH_tv3	ld4	g2012_STH_dv4	g2012_STH_rv4	g2012_STH_tv4	ld5	g2012_STH_dv5	g2012_STH_rv5	g2012_STH_tv5	ld6	g2012_STH_dv6	g2012_STH_rv6	g2012_STH_tv6	ld7	g2012_STH_dv7	g2012_STH_rv7	g2012_STH_tv7	ld8	g2012_STH_dv8	g2012_STH_rv8	g2012_STH_tv8	ld9	g2012_STH_dv9	g2012_STH_rv9	g2012_STH_tv9	ld10	g2012_STH_dv10	g2012_STH_rv10	g2012_STH_tv10	ld11	g2012_STH_dv11	g2012_STH_rv11	g2012_STH_tv11	ld12	g2012_STH_dv12	g2012_STH_rv12	g2012_STH_tv12	ld13	g2012_STH_dv13	g2012_STH_rv13	g2012_STH_tv13	sd	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv	sd2	g2012_STS_dv2	g2012_STS_rv2	g2012_STS_tv2	sd3	g2012_STS_dv3	g2012_STS_rv3	g2012_STS_tv3	sd4	g2012_STS_dv4	g2012_STS_rv4	g2012_STS_tv4	sd5	g2012_STS_dv5	g2012_STS_rv5	g2012_STS_tv5	sd6	g2012_STS_dv6	g2012_STS_rv6	g2012_STS_tv6	sd7	g2012_STS_dv7	g2012_STS_rv7	g2012_STS_tv7	sd8	g2012_STS_dv8	g2012_STS_rv8	g2012_STS_tv8
"SC"	2012	"Richland"	"Blythewood #3"	2	1511		610	637					530	329	871	77	552		562																																																	19	542		556																												
"SC"	2012	"Richland"	"Brandon"	6	3707	1154		1228	2		117	124	343	1197	1556	70	1314		1317																																																	21	1336		1343																												
"SC"	2012	"Richland"	"Briarwood"	6	2765	961		1061	2		21	21	388	883	1294	76	846	403	1249																																																	22	1082		1086																												
"SC"	2012	"Richland"	"Caughman Road"	6	1918	690		763					297	619	933	80	757		758																																																	21	750		753																												
"SC"	2012	"Richland"	"College Place"	6	1849	833		844					31	851	887	73	846		847																																																	19	848		848																												
"SC"	2012	"Richland"	"Cooper"	2	1224		503	530					466	217	693	78	301	378	679																																																	22	529		531																												
"SC"	2012	"Richland"	"Dennyside"	6	853	341		381					164	296	476	73	357		365	77	7		7																																													19	357		365																												
"SC"	2012	"Richland"	"Dentsville"	6	2533	964		986					56	994	1064	76	939	72	1011																																																	21	993		994																												
"SC"	2012	"Richland"	"Dutch Fork #1"	2	2302		1126	1149					1062	313	1391	71		1165	1173																																																	20	264	1047	1337																												
"SC"	2012	"Richland"	"Dutch Fork #2"	2	3073		1058	1102					933	480	1441	71		1127	1140																																																	20	390	963	1391																												
"SC"	2012	"Richland"	"East Forest Acres"	2	1225		507	539					466	193	672	78	295	342	637	75	12	15	27																																													22	504		508																												
"SC"	2012	"Richland"	"Eastover"	6	2667	1162		1244					227	1156	1407	70	689		690	80	528		529																																													21	1210		1217																												
"SC"	2012	"Richland"	"Edgewood"	6	2139	920		930					21	934	963	76	901	29	930																																																	21	919		919																												
"SC"	2012	"Richland"	"Emergency 1"	2	0		5	5	6	2		2	4	15	19	75	14	3	17	76	1	0	1	74	1		1	73	0		0	78	0	0	0	72	0		0																													20	8	7	15	21	2		2	19	1		1	22	0		0																
"SC"	2012	"Richland"	"Emergency 2"	6	0	4		4	2		1	1	1	4	5	77	2		2	71		1	1	76	1	0	1	73	1		1	70	0		0	72	0		0	79	0		0	75	0	0	0	74	0		0	78	0	0	0	80	0		0									19	3		3	20	0	1	1	22	1		1	35	0	0	0	21	0		0												
"SC"	2012	"Richland"	"Emergency 3"	2	0		6	7	6	3		3	3	9	12	75	2	2	4	77	3		3	79	2		2	73	2		2	78	0	0	0	80	0		0	70	0		0	72	0		0	74	0		0	76	0	0	0													22	5		5	20	2	1	3	19	3		3	21	0		0	35	0	0	0												
"SC"	2012	"Richland"	"Emergency 4"	6	0	3		3	2		1	1	2	3	5	77	2		2	78	1	0	1	79	1		1	72	1		1	71		0	0	73	0		0	41	0	0	0	76	0	0	0																					19	3		3	22	2		2	20	0	0	0																				
"SC"	2012	"Richland"	"Estates"	2	4608		1301	1377					1003	1190	2223	79	1601		1619																																																	35	1246	896	2143																												
"SC"	2012	"Richland"	"Failsafe 1"	6	0	122		126	2		21	21	25	151	176	74	88		88	75	19	10	29	76	18	1	19	72	17		17	73	8		8	78	1	0	1																													21	78		78	20	29	12	42	19	40		40	22	5		5																
"SC"	2012	"Richland"	"Failsafe 2"	6	0	140		142	2		22	24	18	174	193	76	33	2	35	77	32		32	80	25		26	70	23		23	73	18		18	78	16	1	17	72	16		16	71		9	9	79	1		1	74	0		0	75	0	0	0									21	65		65	19	60		60	22	42		42	20	6	6	12	35	1	0	1												
"SC"	2012	"Richland"	"Failsafe 3"	6	0	57		60	2		30	34	22	110	133	73	28		28	76	20	1	21	79	17		17	78	9	4	13	72	10		10	77	9		9	75	1	2	3	80	0		0	74	0		0	70	0		0													19	51		51	22	30		30	21	11		11	35	4	1	5	20	0	2	2												
"SC"	2012	"Richland"	"Failsafe 4"	6	0	15		16	2		14	16	7	52	60	79	17		17	72	14		14	76	8	0	8	41	2	3	5	73	2		2	78	2	0	2	77	1		1	71		0	0																					19	23		24	22	20		20	20	9	1	10																				
"SC"	2012	"Richland"	"Failsafe Prov 1"	6	0	39		41	2		36	39	36	60	99																																																																																				
"SC"	2012	"Richland"	"Fairlawn"	6	2912	1174		1245					240	1141	1394	77	1239		1241																																																	19	1223		1225																												
"SC"	2012	"Richland"	"Fairwold"	6	1016	461		465					4	470	481	73	462		462																																																	19	467		467																												
"SC"	2012	"Richland"	"Friarsgate #1"	2	2000		543	587					406	507	938	71		558	577																																																	20	471	423	919																												
"SC"	2012	"Richland"	"Friarsgate #2"	2	1727		586	605					446	447	913	71		600	611																																																	20	391	458	876																												
"SC"	2012	"Richland"	"Gadsden"	6	2040	1017		1035					73	1011	1093	70	1026		1027																																																	21	1038		1040																												
"SC"	2012	"Richland"	"Garners"	6	959	387		421					152	351	513	80	422		425																																																	21	412		418																												
"SC"	2012	"Richland"	"Greenview"	6	1932	915		927					5	953	965	73	920		920																																																	19	927		927																												
"SC"	2012	"Richland"	"Gregg Park"	2	1934		505	535					411	472	895	78	393	162	555	75	138	175	313																																													22	716		718																												
