state	year	county	town	precinct	g2012_ATG_dv	g2012_ATG_rv	g2012_ATG_tv	g2012_AUD_dv	g2012_AUD_rv	g2012_AUD_tv	g2012_GOV_dv	g2012_GOV_rv	g2012_GOV_tv	g2012_LTG_dv	g2012_LTG_rv	g2012_LTG_tv	g2012_SOS_dv	g2012_SOS_tv	g2012_TRE_dv	g2012_TRE_rv	g2012_TRE_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_rv	g2012_USS_iv	g2012_USS_tv
"VT"	2012	"Franklin"	"Georgia"	"Georgia (Franklin 1)"	1064	954	2096	830	1147	2027	887	1223	2173	571	1516	2121	1683	1927	857	1113	2085	1347	656	2146	1228	918	2189	704	1395	2167
"VT"	2012	"Orleans-Caledonia"	"Glover"	"Glover (Orleans-Caledonia )"	306	184	549	242	280	541	269	260	574	180	361	555	426	507	294	213	546	408	125	558	398	158	577	124	430	570
"VT"	2012	"Addison"	"Goshen"	"Goshen (Addison 2)"	71	41	127	72	50	123	77	42	129	60	65	129	95	121	60	53	126	94	27	127	83	35	128	25	100	129
"VT"	2012	"Windham"	"Grafton"	"Grafton (Windham 3)"	175	140	337	164	133	316	202	131	354	148	165	334	240	293	171	136	332	222	104	345	235	113	360	104	224	349
"VT"	2012	"Essex-Caledonia"	"Granby"	"Granby (Essex-Caledonia)"	18	20	42	10	28	42	19	22	44	10	31	43	28	41	15	23	41	24	11	41	28	15	44	12	30	43
"VT"	2012	"Grand Isle-Chittenden"	"Grand Isle"	"Grand Isle (Grand Isle-Chittenden"	691	419	1167	535	562	1129	637	513	1198	364	769	1164	933	1077	533	525	1146	815	302	1185	729	448	1208	328	823	1192
"VT"	2012	"Orange-Washington-A"	"Granville"	"Granville (Orange-Washington-A"	85	33	131	87	37	129	101	33	138	64	66	136	106	123	89	38	133	115	19	135	115	21	142	17	115	139
"VT"	2012	"Orleans-Caledonia"	"Greensboro"	"Greensboro (Orleans-Caledonia )"	223	123	399	198	186	392	217	148	401	139	246	394	340	372	238	138	396	308	81	406	299	101	412	92	305	409
"VT"	2012	"Orange-Caledonia"	"Groton"	"Groton (Orange-Caledonia )"	164	216	428	145	254	418	184	243	448	105	310	431	303	382	167	228	424	254	159	438	219	211	449	177	247	444
"VT"	2012	"Essex-Caledonia"	"Guildhall"	"Guildhall (Essex-Caledonia)"	63	57	140	49	76	135	64	73	141	48	89	140	92	119	61	70	137	74	56	137	75	60	141	50	82	140
"VT"	2012	"Windham"	"Guilford"	"Guilford (Windham 1)"	693	246	1049	596	312	1033	776	266	1117	649	350	1066	782	998	670	266	1061	866	185	1099	853	261	1136	201	866	1122
"VT"	2012	"Windham"	"Halifax"	"Halifax (Windham 6)"	199	137	381	175	149	365	250	123	392	212	147	378	271	347	207	136	379	247	119	391	260	136	401	116	251	396
"VT"	2012	"Addison"	"Hancock"	"Hancock (Addison 2)"	89	51	150	72	67	144	93	54	154	36	103	149	116	142	79	64	150	111	34	150	99	47	152	35	115	155
"VT"	2012	"Caledonia-2"	"Hardwick"	"Hardwick (Caledonia-2)"	694	441	1308	600	644	1277	660	578	1332	424	867	1311	1047	1202	703	498	1292	967	276	1316	924	384	1352	296	985	1336
"VT"	2012	"Windsor"	"Hartford"	"Hartford (Windsor 4-1)"	563	416	1056	514	449	1002	693	389	1133	505	545	1078	802	959	558	460	1081	716	360	1110	714	407	1143	349	730	1122
"VT"	2012	"Windsor"	"Hartford"	"Hartford (Windsor 4-2)"	2089	1072	3443	1940	1291	3334	2524	931	3633	1878	1510	3481	2761	3202	2104	1137	3456	2548	954	3622	2642	1010	3706	796	2696	3631
"VT"	2012	"Windsor"	"Hartland"	"Hartland (Windsor 1)"	1056	551	1724	912	677	1649	1308	547	1969	860	825	1731	1378	1588	986	616	1721	1308	440	1804	1290	525	1842	455	1274	1804
"VT"	2012	"Franklin"	"Highgate"	"Highgate (Franklin 5)"	665	555	1265	524	679	1237	439	821	1294	367	876	1264	1013	1179	511	679	1256	865	321	1272	736	542	1299	365	873	1289
"VT"	2012	"Chittenden"	"Hinesburg"	"Hinesburg (Chittenden 4-1)"	12	2	16	12	4	16	14	2	16	13	3	16	15	16	14	2	16	14	2	16	14	2	16	2	13	15
"VT"	2012	"Chittenden"	"Hinesburg"	"Hinesburg (Chittenden 4-2)"	1508	645	2290	1280	904	2219	1558	750	2385	1003	1268	2297	1931	2143	1281	816	2250	1822	470	2359	1731	650	2413	535	1795	2388
"VT"	2012	"Orleans"	"Holland"	"Holland (Orleans 1)"	144	120	284	91	187	290	126	158	297	76	204	287	208	259	111	155	286	195	80	293	171	121	296	85	197	294
"VT"	2012	"Rutland"	"Hubbardton"	"Hubbardton (Rutland 3)"	165	161	345	148	162	329	142	184	354	128	201	338	263	314	122	206	347	208	121	350	211	141	360	130	203	353
"VT"	2012	"Washington-Chittend"	"Huntington"	"Huntington (Washington-Chittend"	707	251	1071	653	375	1051	754	305	1109	551	515	1081	921	1032	705	280	1067	888	168	1099	850	232	1119	171	906	1111
"VT"	2012	"Lamoille"	"Hyde Park"	"Hyde Park (Lamoille 2)"	808	442	1369	631	673	1336	765	582	1414	404	954	1383	1121	1269	716	555	1351	1036	295	1391	1003	387	1423	315	1049	1414
"VT"	2012	"Rutland"	"Ira"	"Ira (Rutland 1)"	94	109	221	91	118	214	82	132	228	57	162	223	174	197	82	138	228	144	75	227	132	96	231	82	141	229
"VT"	2012	"Orleans"	"Irasburg"	"Irasburg (Orleans 2)"	220	248	504	169	323	502	201	308	524	127	364	507	402	472	210	274	508	333	157	511	290	234	529	158	343	520
"VT"	2012	"Grand Isle-Chittende"	"Isle LaMotte"	"Isle LaMotte (Grand Isle-Chittende"	149	115	283	135	131	276	133	149	291	90	183	280	204	249	121	134	271	192	70	287	175	113	293	78	201	292
"VT"	2012	"Windham-Bennington-W"	"Jamaica"	"Jamaica (Windham-Bennington-W"	250	122	425	217	155	407	271	142	447	212	193	425	304	386	207	162	416	290	84	437	315	119	450	85	324	435
"VT"	2012	"Orleans-Lamoille"	"Jay"	"Jay (Orleans-Lamoille)"	108	59	178	61	120	186	115	70	198	67	114	185	132	157	81	85	185	135	43	189	123	69	199	44	145	194
"VT"	2012	"Chittenden-3"	"Jericho"	"Jericho (Chittenden-3)"	1805	960	2912	1479	1270	2789	1742	1192	3024	1101	1788	2919	2454	2666	1532	1172	2866	2115	777	2991	1990	1026	3067	835	2106	3015
"VT"	2012	"Lamoille"	"Johnson"	"Johnson (Lamoille 2)"	718	349	1203	634	508	1162	723	445	1258	465	725	1216	966	1113	643	455	1187	946	230	1238	919	333	1282	228	978	1263
"VT"	2012	"Rutland-Windsor"	"Killington"	"Killington (Rutland-Windsor 1)"	300	256	591	251	290	553	333	257	622	217	353	582	459	535	241	342	595	406	176	607	363	255	632	198	381	616
"VT"	2012	"Essex-Caledonia"	"Kirby"	"Kirby (Essex-Caledonia)"	129	100	249	107	129	240	111	125	250	86	151	242	206	224	131	106	247	168	72	250	158	78	248	74	167	248
"VT"	2012	"Bennington-Rutland"	"Landgrove"	"Landgrove (Bennington-Rutland )"	59	32	95	56	35	92	76	25	103	55	35	93	81	89	54	37	96	72	23	102	82	20	103	26	75	101
"VT"	2012	"Addison"	"Leicester"	"Leicester (Addison 2)"	256	182	458	220	220	450	233	225	477	166	286	464	365	420	205	243	469	310	133	466	292	176	481	133	325	474
"VT"	2012	"Essex-Caledonia-Orle"	"Lemington"	"Lemington (Essex-Caledonia-Orle"	24	23	49	14	34	49	25	25	51	16	31	49	38	45	21	26	51	28	18	50	28	23	52	17	28	48
"VT"	2012	"Addison"	"Lincoln"	"Lincoln (Addison 4)"	467	206	743	451	269	747	510	240	783	405	340	758	624	700	444	229	747	598	142	769	581	181	788	156	599	783
"VT"	2012	"Windham-Benningt"	"Londonderry"	"Londonderry (Windham-Benningt"	420	328	824	370	349	774	505	326	883	366	419	828	618	746	395	373	828	535	234	871	552	334	905	259	575	882
"VT"	2012	"Orleans-Lamoille"	"Lowell"	"Lowell (Orleans-Lamoille)"	182	151	364	118	238	361	169	183	377	95	258	364	277	338	150	175	360	228	117	366	228	143	378	106	260	376
"VT"	2012	"Rutland-Windsor"	"Ludlow"	"Ludlow (Rutland-Windsor 2)"	540	430	1037	460	466	975	572	470	1090	407	588	1038	719	911	419	562	1031	696	311	1059	652	437	1109	355	678	1089
"VT"	2012	"Essex-Caledonia"	"Lunenburg"	"Lunenburg (Essex-Caledonia)"	242	238	532	171	312	530	240	288	551	144	367	532	359	471	190	301	523	340	174	547	296	243	561	188	346	556
"VT"	2012	"Caledonia-4"	"Lyndon"	"Lyndon (Caledonia-4)"	905	920	1977	711	1176	1952	875	1071	2060	545	1408	1994	1573	1831	792	1048	1963	1252	650	2021	1140	866	2079	708	1253	2046
"VT"	2012	"Essex-Caledonia"	"Maidstone"	"Maidstone (Essex-Caledonia)"	36	55	97	16	77	95	44	56	102	22	70	92	72	86	30	60	94	54	37	99	50	52	104	38	61	102
"VT"	2012	"Bennington"	"Manchester"	"Manchester (Bennington 4 )"	1124	864	2149	1018	892	2022	1214	924	2262	961	1138	2155	1611	1890	1032	1015	2166	1416	686	2230	1439	850	2327	758	1391	2289
"VT"	2012	"Windham"	"Marlboro"	"Marlboro (Windham 5)"	358	83	519	321	103	513	446	76	560	382	105	524	382	476	333	92	515	451	62	546	481	73	578	70	469	565
"VT"	2012	"Washington"	"Marshfield"	"Marshfield (Washington 6)"	372	250	801	425	338	782	468	311	814	310	490	808	635	737	443	295	798	566	200	811	521	253	822	208	588	814
"VT"	2012	"Rutland-Windsor"	"Mendon"	"Mendon (Rutland-Windsor 1)"	272	278	572	229	308	551	274	292	592	190	376	571	442	525	212	361	582	361	206	586	319	262	595	223	331	585
"VT"	2012	"Addison"	"Middlebury"	"Middlebury (Addison 1)"	2244	759	3193	2048	1009	3126	2287	880	3313	1684	1469	3204	2714	2979	2050	931	3182	2666	502	3273	2635	661	3370	579	2625	3324
"VT"	2012	"Washington"	"Middlesex"	"Middlesex (Washington 5)"	580	224	969	562	365	949	654	306	997	352	623	983	801	899	612	277	964	787	161	982	756	216	1005	190	783	990
"VT"	2012	"Rutland-Ben"	"Middletown Springs"	"Middletown Springs (Rutland-Ben"	231	164	424	203	160	404	230	187	438	185	227	423	319	379	173	218	427	299	120	437	272	163	442	133	301	443
"VT"	2012	"Chittenden"	"Milton"	"Milton (Chittenden 10)"	2075	1566	3808	1619	1925	3635	1861	1948	3938	1028	2726	3810	3050	3490	1513	1977	3752	2509	1040	3874	2231	1665	3972	1192	2600	3920
"VT"	2012	"Grand Isle-Chittenden"	"Milton"	"Milton (Grand Isle-Chittenden)"	329	278	641	265	325	602	320	324	669	173	466	648	507	576	239	345	631	401	201	655	358	301	678	237	397	659
"VT"	2012	"Addison"	"Monkton"	"Monkton (Addison 4)"	631	343	1031	536	431	989	620	392	1050	398	618	1033	832	928	552	411	1022	784	233	1043	724	330	1076	267	760	1057
"VT"	2012	"Franklin"	"Montgomery"	"Montgomery (Franklin 7)"	333	166	573	273	263	558	365	195	592	272	279	568	450	520	305	197	568	432	113	580	410	174	597	126	446	597
"VT"	2012	"Washington"	"Montpelier"	"Montpelier (Washington 4)"	2877	730	4354	2915	1259	4250	3340	923	4456	2095	2239	4387	3763	4093	3287	808	4344	3760	506	4407	3694	700	4522	573	3754	4461
"VT"	2012	"Washington"	"Moretown"	"Moretown (Washington 7)"	506	240	904	468	404	896	559	345	946	279	637	932	772	856	525	313	901	717	172	923	664	261	957	196	0	240
"VT"	2012	"Orleans"	"Morgan"	"Morgan (Orleans 1)"	130	174	327	93	211	328	127	195	335	73	240	324	261	305	122	183	324	192	112	333	162	175	340	126	198	331
"VT"	2012	"Lamoille-Washington"	"Morristown"	"Morristown (Lamoille-Washington "	1432	715	2374	1127	1111	2301	1355	984	2462	766	1604	2405	1905	2196	1282	920	2354	1866	466	2430	1780	668	2499	508	1877	2459
"VT"	2012	"Rutland-Windsor"	"Mount Holly"	"Mount Holly (Rutland-Windsor 2)"	357	306	709	326	322	669	396	314	747	292	406	712	509	626	326	369	725	458	225	722	439	294	750	219	489	740
"VT"	2012	"Bennington-Rutland"	"Mount Tabor"	"Mount Tabor (Bennington-Rutland "	39	31	78	35	36	75	48	31	83	23	54	80	57	69	34	44	82	52	25	82	50	32	83	24	55	80
"VT"	2012	"Addison"	"New Haven"	"New Haven (Addison 5)"	556	347	951	481	428	928	549	399	978	334	607	957	794	883	471	416	937	710	229	969	653	323	987	268	692	979
"VT"	2012	"Essex-Caledonia-Orlean"	"Newark"	"Newark (Essex-Caledonia-Orlean"	129	126	283	93	180	284	109	166	301	64	200	284	197	247	116	137	273	172	90	287	168	111	301	104	173	295
"VT"	2012	"Orange-Caledonia"	"Newbury"	"Newbury (Orange-Caledonia )"	503	382	973	439	462	933	568	398	1015	378	572	979	724	869	515	415	976	664	283	1000	623	375	1025	291	684	1012
"VT"	2012	"Windham"	"Newfane"	"Newfane (Windham 5)"	619	198	898	524	255	865	704	187	952	580	281	897	674	847	560	226	894	732	149	933	732	200	962	148	765	946
"VT"	2012	"Orleans"	"Newport City"	"Newport City (Orleans 2)"	850	566	1502	487	981	1508	768	708	1547	483	984	1503	1188	1384	691	708	1491	1083	378	1533	962	555	1556	402	1072	1536
"VT"	2012	"Orleans"	"Newport Town"	"Newport Town (Orleans 2)"	325	282	659	231	420	665	275	377	681	172	477	663	489	596	248	349	648	433	182	675	405	270	691	196	455	678
"VT"	2012	"Grand Isle-Chittenden"	"North Hero"	"North Hero (Grand Isle-Chittenden"	294	244	558	243	285	539	265	288	567	173	381	560	451	506	252	274	552	357	173	562	312	249	572	202	350	570
"VT"	2012	"Washington"	"Northfield"	"Northfield (Washington 1)"	1046	719	2012	890	1012	1954	1101	893	2085	446	1590	2059	1625	1850	1085	824	2011	1478	476	2060	1378	685	2113	514	1472	2080
"VT"	2012	"Essex-Caledonia-Orleans"	"Norton"	"Norton (Essex-Caledonia-Orleans"	37	38	87	24	61	90	38	44	93	21	63	87	59	79	28	49	86	53	28	92	45	44	94	30	58	93
"VT"	2012	"Windsor-Orange"	"Norwich"	"Norwich (Windsor-Orange 2)"	1463	335	1960	1426	415	1881	1760	303	2129	1449	499	1970	1667	1803	1492	342	1956	1856	235	2131	1839	293	2168	256	1798	2115
"VT"	2012	"Orange"	"Orange"	"Orange (Orange 1)"	201	236	498	152	316	484	211	287	516	67	436	507	376	463	201	281	501	307	172	507	251	248	517	188	299	510
"VT"	2012	"Addison-Rutland"	"Orwell"	"Orwell (Addison-Rutland)"	280	278	592	245	319	582	261	342	613	150	423	597	446	524	202	382	603	377	201	603	333	275	619	227	357	615
"VT"	2012	"Addison"	"Panton"	"Panton (Addison 3)"	173	130	322	140	165	316	159	164	331	116	205	323	263	302	159	151	326	217	102	326	208	122	336	99	221	332
"VT"	2012	"Rutland-Bennington"	"Pawlet"	"Pawlet (Rutland-Bennington)"	340	284	700	346	302	691	405	282	729	299	378	699	524	660	322	348	709	481	186	717	461	254	734	194	496	727
"VT"	2012	"Caledonia-Washington"	"Peacham"	"Peacham (Caledonia-Washington "	287	136	474	260	183	459	301	166	480	200	260	468	402	446	289	147	467	357	99	480	346	136	488	113	351	476
"VT"	2012	"Bennington-Rutland"	"Peru"	"Peru (Bennington-Rutland )"	116	69	202	105	69	188	133	69	217	110	83	201	155	186	109	73	198	149	47	215	160	55	219	52	154	217
"VT"	2012	"Windsor-Rutland"	"Pittsfield"	"Pittsfield (Windsor-Rutland )"	135	113	273	111	139	254	146	122	280	85	174	264	210	240	101	155	268	161	79	273	160	116	284	90	180	282
"VT"	2012	"Rutland"	"Pittsford"	"Pittsford (Rutland 6)"	710	597	1377	584	715	1344	627	755	1452	417	943	1392	1093	1274	514	862	1415	957	394	1414	891	543	1464	443	926	1427
"VT"	2012	"Washington"	"Plainfield"	"Plainfield (Washington 6)"	326	149	644	378	222	625	449	168	652	304	326	648	511	594	441	158	640	519	99	650	509	118	663	109	522	657
"VT"	2012	"Windsor"	"Plymouth"	"Plymouth (Windsor 5)"	153	136	310	144	152	303	172	147	334	129	184	319	233	277	133	176	323	197	112	323	192	138	338	115	200	334
"VT"	2012	"Windsor"	"Pomfret"	"Pomfret (Windsor 4-1)"	351	176	562	303	225	545	397	184	592	276	282	573	478	540	320	215	568	461	124	593	431	161	602	141	436	592
"VT"	2012	"Rutland"	"Poultney"	"Poultney (Rutland 1)"	668	514	1294	610	599	1255	705	560	1347	505	763	1299	967	1165	556	694	1311	925	336	1330	857	468	1366	345	943	1346
"VT"	2012	"Bennington"	"Pownal"	"Pownal (Bennington 1)"	830	424	1459	778	566	1435	1029	379	1558	832	595	1484	1095	1366	915	493	1506	1055	357	1521	1047	507	1588	363	1066	1550
"VT"	2012	"Rutland"	"Proctor"	"Proctor (Rutland 2)"	428	313	775	328	412	755	408	355	798	280	479	777	641	715	301	458	783	566	189	788	498	294	802	216	535	794
"VT"	2012	"Windham"	"Putney"	"Putney (Windham 4)"	860	193	1184	794	253	1170	1033	180	1272	796	284	1209	787	1143	790	215	1196	1082	133	1252	1064	188	1284	148	1080	1269
"VT"	2012	"Orange-Washington-A"	"Randolph"	"Randolph (Orange-Washington-A"	1225	645	2056	985	948	1995	1210	797	2101	675	1372	2081	1621	1875	1112	837	2046	1516	487	2090	1409	663	2132	510	1533	2123
"VT"	2012	"Windsor"	"Reading"	"Reading (Windsor 5)"	208	111	346	200	117	334	241	103	368	169	160	341	263	313	191	136	340	271	74	362	259	102	376	80	267	367
"VT"	2012	"Windham-Bennington"	"Readsboro"	"Readsboro (Windham-Bennington"	165	111	331	170	109	310	212	102	350	186	117	339	233	293	182	125	335	214	99	344	223	122	359	97	197	348
"VT"	2012	"Franklin"	"Richford"	"Richford (Franklin 5)"	471	238	753	271	459	749	381	358	766	271	451	753	591	698	368	315	748	562	162	763	497	257	767	157	586	767
"VT"	2012	"Chittenden-1"	"Richmond"	"Richmond (Chittenden-1)"	1482	656	2308	1249	931	2218	1499	805	2379	983	1301	2312	1976	2152	1364	797	2283	1816	480	2356	1722	650	2419	486	1822	2381
"VT"	2012	"Addison"	"Ripton"	"Ripton (Addison 2)"	221	66	318	207	83	307	229	76	329	182	119	316	257	290	205	76	311	279	30	324	267	58	336	42	282	333
"VT"	2012	"Windsor-Rutland"	"Rochester"	"Rochester (Windsor-Rutland )"	379	170	619	361	219	603	435	182	649	290	331	635	488	570	347	221	620	494	118	642	463	173	659	119	496	650
"VT"	2012	"Windham"	"Rockingham"	"Rockingham (Windham 3)"	1262	489	1965	1105	629	1907	1433	474	2069	1048	636	1965	1380	1819	1175	577	1956	1577	324	2034	1562	497	2119	331	1592	2070
"VT"	2012	"Orange-Washington-Ad"	"Roxbury"	"Roxbury (Orange-Washington-Ad"	177	94	321	151	137	304	187	119	330	94	226	327	244	290	192	100	317	241	67	325	228	91	336	73	236	330
"VT"	2012	"Windsor-Orange"	"Royalton"	"Royalton (Windsor-Orange 1)"	654	415	1189	565	532	1134	706	479	1260	484	696	1200	937	1086	643	461	1189	881	250	1243	870	355	1272	285	900	1237
"VT"	2012	"Rutland-Bennington"	"Rupert"	"Rupert (Rutland-Bennington)"	199	128	363	181	140	341	226	133	378	175	176	364	254	318	190	146	360	245	91	366	238	137	383	103	246	372
"VT"	2012	"Rutland"	"Rutland City"	"Rutland City (Rutland 5-1)"	1054	884	2017	832	1027	1900	1036	980	2101	656	1335	2017	1551	1765	867	1180	2085	1440	565	2055	1243	846	2132	640	1335	2057
"VT"	2012	"Rutland"	"Rutland City"	"Rutland City (Rutland 5-2)"	984	675	1749	747	870	1670	954	789	1814	639	1072	1746	1362	1583	744	999	1794	1252	476	1801	1139	655	1837	522	1213	1806
"VT"	2012	"Rutland"	"Rutland City"	"Rutland City (Rutland 5-3)"	651	414	1158	551	518	1109	643	480	1207	484	641	1166	876	1057	532	612	1191	861	253	1182	797	387	1225	289	829	1194
"VT"	2012	"Rutland"	"Rutland City"	"Rutland City (Rutland 5-4)"	897	577	1564	749	731	1523	897	649	1635	644	898	1580	1227	1424	671	855	1584	1188	371	1615	1073	542	1654	418	1130	1620
"VT"	2012	"Rutland"	"Rutland Town"	"Rutland Town (Rutland 4)"	1036	1054	2172	850	1192	2084	994	1206	2266	602	1532	2173	1704	1937	804	1389	2229	1405	759	2229	1211	1029	2283	846	1310	2234
"VT"	2012	"Caledonia-1"	"Ryegate"	"Ryegate (Caledonia-1)"	275	219	534	233	272	522	278	244	543	157	363	535	406	476	260	241	529	354	162	542	342	201	556	164	356	543
"VT"	2012	"Franklin"	"Saint Albans City"	"Saint Albans City (Franklin 3-1)"	1411	788	2355	1156	1049	2288	1238	1075	2421	868	1432	2351	1944	2233	1242	911	2335	1769	479	2394	1593	752	2434	565	1743	2403
"VT"	2012	"Franklin"	"Saint Albans Town"	"Saint Albans Town (Franklin 3-1)"	469	337	836	353	431	805	371	468	856	252	573	834	694	775	357	416	827	572	216	843	496	351	861	235	589	852
"VT"	2012	"Franklin"	"Saint Albans Town"	"Saint Albans Town (Franklin 3-2)"	972	813	1864	737	986	1787	809	1071	1916	520	1302	1860	1521	1731	786	934	1824	1264	512	1878	1096	796	1921	585	1237	1902
"VT"	2012	"Chittenden"	"Saint George"	"Saint George (Chittenden 5-2)"	203	91	314	161	133	300	201	112	324	123	183	311	269	296	161	118	303	237	66	318	219	103	327	88	221	324
"VT"	2012	"Caledonia-3"	"Saint Johnsbury"	"Saint Johnsbury (Caledonia-3)"	1433	1157	2827	1183	1538	2806	1384	1405	2933	949	1843	2855	2322	2669	1334	1303	2824	1918	814	2887	1789	1081	2937	583	1909	2605
"VT"	2012	"Addison"	"Salisbury"	"Salisbury (Addison 2)"	303	193	521	248	235	492	289	222	536	184	317	512	393	464	241	259	516	373	133	533	356	171	540	149	367	541
"VT"	2012	"Bennington"	"Sandgate"	"Sandgate (Bennington 4 )"	93	75	193	101	74	181	111	80	202	96	88	190	142	172	96	81	185	121	64	204	121	82	208	71	115	203
"VT"	2012	"Windham-Bennington"	"Searsburg"	"Searsburg (Windham-Bennington"	20	16	50	16	18	49	23	18	52	25	16	47	23	42	15	18	46	29	12	50	24	21	52	12	30	53
"VT"	2012	"Bennington"	"Shaftsbury"	"Shaftsbury (Bennington 3)"	955	537	1747	879	701	1680	1170	546	1834	891	798	1748	1341	1593	967	680	1749	1234	469	1793	1163	673	1866	484	1232	1820
"VT"	2012	"Windsor-Orange"	"Sharon"	"Sharon (Windsor-Orange 2)"	396	220	677	360	270	650	454	230	704	319	361	684	538	625	395	250	684	512	148	697	496	202	714	167	508	696
"VT"	2012	"Orleans-Caledonia"	"Sheffield"	"Sheffield (Orleans-Caledonia )"	134	106	265	109	156	271	140	124	286	80	182	270	210	240	123	132	272	190	62	271	182	93	286	66	200	281
"VT"	2012	"Chittenden"	"Shelburne"	"Shelburne (Chittenden 5-1)"	1522	668	2324	1279	887	2191	1596	779	2438	1077	1225	2326	1956	2123	1321	811	2298	1828	510	2395	1759	679	2479	604	1760	2422
"VT"	2012	"Chittenden"	"Shelburne"	"Shelburne (Chittenden 5-2)"	1224	641	1950	954	872	1859	1149	810	2025	780	1135	1940	1677	1806	960	811	1906	1410	508	1976	1317	724	2059	599	1350	2003
"VT"	2012	"Franklin"	"Sheldon"	"Sheldon (Franklin 4)"	411	311	754	337	376	739	330	422	773	217	518	757	616	706	342	358	755	552	177	770	476	283	778	189	553	772
"VT"	2012	"Addison-Rutland"	"Shoreham"	"Shoreham (Addison-Rutland)"	345	228	592	309	251	569	328	279	619	216	374	596	462	520	275	295	595	434	150	608	404	201	623	169	430	611
"VT"	2012	"Rutland-Windsor"	"Shrewsbury"	"Shrewsbury (Rutland-Windsor 2)"	329	251	625	311	273	608	357	258	644	250	339	629	477	559	299	309	640	420	188	640	383	248	651	194	389	611
"VT"	2012	"Chittenden"	"South Burlington"	"South Burlington (Chittenden 7-1)"	1450	665	2244	1247	873	2147	1476	815	2353	980	1234	2240	1873	2075	1241	817	2188	1721	506	2299	1650	698	2395	592	1681	2335
"VT"	2012	"Chittenden"	"South Burlington"	"South Burlington (Chittenden 7-2)"	1586	784	2466	1290	1026	2350	1541	947	2564	996	1442	2463	2004	2237	1287	981	2426	1830	620	2526	1720	851	2613	746	1717	2542
"VT"	2012	"Chittenden"	"South Burlington"	"South Burlington (Chittenden 7-3)"	1368	538	2067	1200	754	2000	1478	599	2172	1036	998	2071	1727	1918	1244	631	2038	1642	386	2108	1636	522	2203	413	1666	2144
"VT"	2012	"Chittenden"	"South Burlington"	"South Burlington (Chittenden 7-4)"	1326	691	2141	1088	958	2078	1311	821	2220	863	1246	2135	1709	1965	1118	835	2112	1567	498	2164	1507	677	2248	585	1540	2202
"VT"	2012	"Grand Isle-Chittende"	"South Hero"	"South Hero (Grand Isle-Chittende"	663	343	1050	536	446	999	623	421	1075	360	673	1046	878	967	557	418	1034	802	221	1069	724	347	1087	275	766	1067
"VT"	2012	"Windsor"	"Springfield"	"Springfield (Windsor 3-1)"	76	45	127	58	62	126	74	47	128	48	77	129	97	124	62	57	128	81	43	129	80	47	131	37	85	129
"VT"	2012	"Windsor"	"Springfield"	"Springfield (Windsor 3-2)"	1891	1300	3478	1637	1552	3388	2093	1279	3603	1462	1810	3487	2504	3218	1650	1618	3495	2373	1014	3570	2264	1295	3651	1053	2337	3613
"VT"	2012	"Windham-Bennington"	"Stamford"	"Stamford (Windham-Bennington)"	209	149	416	193	154	378	250	134	437	225	170	415	297	373	205	171	410	263	124	429	274	176	468	139	253	441
"VT"	2012	"Caledonia-2"	"Stannard"	"Stannard (Caledonia-2)"	57	19	92	50	37	91	56	28	95	44	46	93	70	82	54	28	92	71	8	94	68	19	94	13	76	94
"VT"	2012	"Addison"	"Starksboro"	"Starksboro (Addison 4)"	508	230	808	439	323	783	526	276	829	369	422	809	633	727	456	286	798	572	173	814	582	230	836	193	593	828
"VT"	2012	"Windsor-Rutland"	"Stockbridge"	"Stockbridge (Windsor-Rutland )"	204	127	369	176	160	353	220	147	385	150	210	371	290	344	173	180	368	271	89	376	260	119	386	92	281	385
"VT"	2012	"Lamoille"	"Stowe"	"Stowe (Lamoille 1)"	1413	860	2481	1129	1160	2349	1428	1074	2616	895	1568	2497	1993	2247	1279	1005	2442	1823	638	2556	1805	800	2660	722	1771	2594
"VT"	2012	"Windsor-Orange"	"Strafford"	"Strafford (Windsor-Orange 2)"	440	143	656	380	222	617	506	137	675	407	223	647	536	600	457	151	653	558	87	674	561	114	694	92	569	678
"VT"	2012	"Windham-Bennington-W"	"Stratton"	"Stratton (Windham-Bennington-W"	54	73	134	49	75	127	52	75	140	46	87	135	95	121	46	81	135	60	62	136	73	70	143	53	76	137
"VT"	2012	"Rutland"	"Sudbury"	"Sudbury (Rutland 6)"	176	115	298	142	138	286	163	135	308	117	177	299	231	274	130	147	296	202	86	302	199	102	307	93	202	301
"VT"	2012	"Bennington"	"Sunderland"	"Sunderland (Bennington 3)"	61	23	95	53	32	93	73	18	97	48	43	96	75	89	53	27	91	75	19	97	74	24	99	18	75	99
"VT"	2012	"Bennington"	"Sunderland"	"Sunderland (Bennington 4 )"	184	127	353	171	143	338	218	135	376	167	172	358	266	328	178	164	361	236	107	371	236	141	383	110	239	372
"VT"	2012	"Caledonia-4"	"Sutton"	"Sutton (Caledonia-4)"	175	188	400	139	246	395	176	223	423	110	284	410	328	376	170	207	402	270	114	417	254	167	430	146	264	426
"VT"	2012	"Franklin"	"Swanton"	"Swanton (Franklin 4)"	1254	1011	2383	1024	1248	2343	978	1412	2448	690	1642	2378	1956	2241	1045	1166	2355	1638	641	2419	1461	947	2452	689	1643	2427
