state	year	county	precinct	cd	g2012_GOV_rv	g2012_GOV_dv	g2012_GOV_tv	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	g2012_USH_rv	g2012_USH_dv	g2012_USH_tv
"NH"	2012	"Sullivan"	"Croydon"	2	210	210	431	233	196	441	224	180	420
"NH"	2012	"Sullivan"	"Goshen"	2	183	232	434	202	227	438	202	196	420
"NH"	2012	"Sullivan"	"Grantham"	2	725	1190	1966	831	1144	1994	839	1068	1960
"NH"	2012	"Sullivan"	"Langdon"	2	132	237	384	164	223	393	157	207	382
"NH"	2012	"Sullivan"	"Lempster"	2	275	285	578	316	294	619	304	260	591
"NH"	2012	"Sullivan"	"Newport*"	2	1197	1466	2757	1310	1448	2814	1282	1254	2772
"NH"	2012	"Sullivan"	"Plainfield"	2	391	961	1397	457	976	1456	472	888	1398
"NH"	2012	"Sullivan"	"Springfield"	2	343	386	754	398	365	775	390	325	747
"NH"	2012	"Sullivan"	"Sunapee"	2	948	1006	1994	1075	916	2029	1047	844	1962
"NH"	2012	"Sullivan"	"Unity"	2	306	414	754	359	424	794	337	382	757
"NH"	2012	"Sullivan"	"Washington"	2	290	279	600	314	285	611	310	245	592
